Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Malik, Grim Manipulator",5.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Rogue']",Mythic,SLX,4,3,None,"When Malik, Grim Manipulator enters the battlefield, you and target opponent each secretly choose a creature that player controls. Then those choices are revealed, and that player sacrifices those creatures.\nWhenever an opponent sacrifices a creature, you create a Treasure token."
"Hansk, Slayer Zealot",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Archer']",Mythic,SLX,4,4,None,"At the beginning of your upkeep, target opponent creates three Walker tokens. (They're 2/2 black Zombie creatures.)\n{T}: Hansk, Slayer Zealot deals 2 damage to target creature.\nWhenever a Zombie an opponent controls dies, draw a card."
"Gregor, Shrewd Magistrate",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Mythic,SLX,1,3,None,"Skulk (This creature can't be blocked by creatures with greater power.)\nWhenever Gregor, Shrewd Magistrate deals combat damage to a player, draw cards equal to its power."
"Tadeas, Juniper Ascendant",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Monk']",Rare,SLX,1,3,None,"Reach\nTadeas has hexproof unless it's attacking.\nWhenever a creature you control with reach attacks, untap it and it can't be blocked by creatures with greater power this combat.\nWhenever one or more creatures you control deal combat damage to a player, draw a card."
"Enkira, Hostile Scavenger",5.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,SLX,3,3,None,"When Enkira, Hostile Scavenger enters the battlefield, create two Walker tokens. (They're 2/2 black Zombie creatures.)\nAs long as Enkira is equipped, it must be blocked if able.\nWhenever Enkira and at least two Zombies attack, Enkira gains indestructible until end of turn."
"Immard, the Stormcleaver",4.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,SLX,4,4,None,"Whenever Immard, the Stormcleaver enters the battlefield or attacks, put a charge counter on it or remove one from it. When you remove a counter this way, choose one —\n• Immard deals 4 damage to any target.\n• Immard gains lifelink and indestructible until end of turn."
Aisha of Sparks and Smoke,3.0,['R'],"['R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,SLX,4,2,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\n{R/W}: Aisha of Sparks and Smoke gains first strike until end of turn.\nWhenever Aisha deals combat damage, you may cast a sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost."
Gisa's Favorite Shovel,2.0,['B'],['B'],['Legendary'],['Artifact'],['Equipment'],Mythic,SLX,None,None,None,"Equipped creature gets +2/+0 and has menace.\nWhenever equipped creature attacks, defending player sacrifices a creature. If they do, you create a Walker token. (It's a 2/2 black Zombie creature.)\nEquip {4}"
"Greymond, Avacyn's Stalwart",4.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,SLX,3,4,None,"As Greymond, Avacyn's Stalwart enters the battlefield, choose two abilities from among first strike, vigilance, and lifelink.\nHumans you control have each of the chosen abilities.\nAs long as you control four or more Humans, Humans you control get +2/+2."
"Zethi, Arcane Blademaster",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,SLX,3,3,None,"Multikicker {W/U}\nWhen Zethi, Arcane Blademaster enters the battlefield, exile up to X target instant cards from your graveyard, where X is the number of times Zethi was kicked. Put a kick counter on each of them.\nWhenever Zethi attacks, copy each exiled card you own with a kick counter on it. You may cast the copies."
"Vikya, Scorching Stalwart",3.0,['W'],"['R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,SLX,2,4,None,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)\n{4}{R}, {Q}, Discard a card: Vikya, Scorching Stalwart deals damage equal to its power to any target. If excess damage was dealt to a creature this way, draw a card. ({Q} is the untap symbol.)"
"Baldin, Century Herdmaster",6.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,SLX,0,7,None,"As long as it's your turn, each creature assigns combat damage equal to its toughness rather than its power.\nWhenever Baldin, Century Herdmaster attacks, up to one hundred target creatures each get +0/+X until end of turn, where X is the number of cards in your hand."
"Bjorna, Nightfall Alchemist",2.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],['Human'],Rare,SLX,1,3,None,"{T}, Sacrifice an artifact: Bjorna, Nightfall Alchemist deals 1 damage to target creature. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)\nFriends forever (You can have two commanders if both have friends forever.)"
The Howling Abomination,5.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Beast', 'Warrior']",Rare,SLX,5,5,None,"Haste\nThe Howling Abomination has trample as long as you've cast three or more spells this turn.\nWhenever The Howling Abomination becomes the target of a spell, it gets +2/+2 until end of turn and deals 2 damage to each opponent."
Havengul Laboratory // Havengul Mystery,0.0,None,['B'],['Legendary'],['Land'],None,Rare,SLX,None,None,None,"{T}: Add {C}.\n{4}, {T}: Investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")\nAt the beginning of your end step, if you sacrificed three or more Clues this turn, transform Havengul Laboratory."
"Wernog, Rider's Chaplain",2.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],['Human'],Rare,SLX,1,2,None,"When Wernog, Rider's Chaplain enters or leaves the battlefield, each opponent may investigate. Each opponent who doesn't loses 1 life. You investigate X times, where X is one plus the number of opponents who investigated this way.\nFriends forever (You can have two commanders if both have friends forever.)"
"Maarika, Brutal Gladiator",5.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,SLX,7,4,None,"Maarika, Brutal Gladiator must be blocked if able.\nAs long as it's your turn, Maarika has indestructible.\nWhenever Maarika deals damage to a creature, if that creature was dealt excess damage this turn, that creature's controller sacrifices a noncreature, nonland permanent."
"Cecily, Haunted Mage",4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,SLX,3,5,None,"Your maximum hand size is eleven.\nWhenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost.\nFriends forever (You can have two commanders if both have friends forever.)"
"Sophina, Spearsage Deserter",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,SLX,4,4,None,"Menace\nWhenever Sophina, Spearsage Deserter attacks, investigate once for each nontoken attacking creature. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nFriends forever (You can have two commanders if both have friends forever.)"
"Elmar, Ulvenwald Informant",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],['Human'],Rare,SLX,3,2,None,"Haste\nWhenever you cast your second spell each turn, untap target creature, then investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")\nFriends forever (You can have two commanders if both have friends forever.)"
"Arvinox, the Mind Flail",7.0,['B'],['B'],['Legendary'],"['Enchantment', 'Creature']",['Horror'],Mythic,SLX,9,9,None,"Arvinox, the Mind Flail isn't a creature unless you control three or more permanents you don't own.\nAt the beginning of your end step, exile the bottom card of each opponent's library face down. For as long as those cards remain exiled, you may look at them, you may cast permanent spells from among them, and you may spend mana as though it were mana of any color to cast those spells."
"Othelm, Sigardian Outcast",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Human'],Rare,SLX,2,2,None,"{2}, {T}: Choose target creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield tapped.\nFriends forever (You can have two commanders if both have friends forever.)"
