Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Skybridge Towers,0.0,None,"['U', 'W']",None,['Land'],None,Common,SNC,None,None,None,"Skybridge Towers enters the battlefield tapped.\n{T}: Add {W} or {U}.\n{2}{W}{U}, {T}, Sacrifice Skybridge Towers: Draw a card."
Riveteers Overlook,0.0,None,None,None,['Land'],None,Common,SNC,None,None,None,"When Riveteers Overlook enters the battlefield, sacrifice it. When you do, search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
Raffine's Tower,0.0,None,"['B', 'U', 'W']",None,['Land'],"['Plains', 'Island', 'Swamp']",Rare,SNC,None,None,None,"({T}: Add {W}, {U}, or {B}.)\nRaffine's Tower enters the battlefield tapped.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Racers' Ring,0.0,None,"['G', 'R']",None,['Land'],None,Common,SNC,None,None,None,"Racers' Ring enters the battlefield tapped.\n{T}: Add {R} or {G}.\n{2}{R}{G}, {T}, Sacrifice Racers' Ring: Draw a card."
Obscura Storefront,0.0,None,None,None,['Land'],None,Common,SNC,None,None,None,"When Obscura Storefront enters the battlefield, sacrifice it. When you do, search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
Maestros Theater,0.0,None,None,None,['Land'],None,Common,SNC,None,None,None,"When Maestros Theater enters the battlefield, sacrifice it. When you do, search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
Jetmir's Garden,0.0,None,"['G', 'R', 'W']",None,['Land'],"['Mountain', 'Forest', 'Plains']",Rare,SNC,None,None,None,"({T}: Add {R}, {G}, or {W}.)\nJetmir's Garden enters the battlefield tapped.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Cabaretti Courtyard,0.0,None,None,None,['Land'],None,Common,SNC,None,None,None,"When Cabaretti Courtyard enters the battlefield, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
Brokers Hideout,0.0,None,None,None,['Land'],None,Common,SNC,None,None,None,"When Brokers Hideout enters the battlefield, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 life."
Botanical Plaza,0.0,None,"['G', 'W']",None,['Land'],None,Common,SNC,None,None,None,"Botanical Plaza enters the battlefield tapped.\n{T}: Add {G} or {W}.\n{2}{G}{W}, {T}, Sacrifice Botanical Plaza: Draw a card."
Unlicensed Hearse,2.0,None,None,None,['Artifact'],['Vehicle'],Rare,SNC,*,*,None,{T}: Exile up to two target cards from a single graveyard.\nUnlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.\nCrew 2
Dapper Shieldmate,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,SNC,2,2,None,"Dapper Shieldmate enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\nAs long as it's your turn, Dapper Shieldmate gets +2/+0."
Suspicious Bookcase,2.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,SNC,0,4,None,"Defender\n{3}, {T}: Target creature can't be blocked this turn."
Scuttling Butler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,SNC,4,1,None,"At the beginning of combat on your turn, if you control two or more multicolored permanents, Scuttling Butler gains double strike until end of turn."
Quick-Draw Dagger,3.0,None,None,None,['Artifact'],['Equipment'],Common,SNC,None,None,None,"Flash\nWhen Quick-Draw Dagger enters the battlefield, attach it to target creature you control. That creature gains first strike until end of turn.\nEquipped creature gets +1/+1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
A-Paragon of Modernity,4.0,None,None,None,"['Artifact', 'Creature']","['Angel', 'Warrior']",Common,SNC,2,3,None,"Flying\n{3}: Paragon of Modernity gets +1/+1 until end of turn. If exactly three colors of mana were spent to activate this ability, put a +1/+1 counter on it instead."
Paragon of Modernity,4.0,None,None,None,"['Artifact', 'Creature']","['Angel', 'Warrior']",Common,SNC,2,2,None,"Flying\n{3}: Paragon of Modernity gets +1/+1 until end of turn. If exactly three colors of mana were spent to activate this ability, put a +1/+1 counter on it instead."
A-Ominous Parcel,1.0,None,None,None,['Artifact'],None,Common,SNC,None,None,None,"{1}, {T}, Sacrifice Ominous Parcel: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n{5}, {T}, Sacrifice Ominous Parcel: It deals 4 damage to target creature."
Ominous Parcel,1.0,None,None,None,['Artifact'],None,Common,SNC,None,None,None,"{2}, {T}, Sacrifice Ominous Parcel: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n{5}, {T}, Sacrifice Ominous Parcel: It deals 4 damage to target creature."
"Luxior, Giada's Gift",1.0,None,None,['Legendary'],['Artifact'],['Equipment'],Mythic,SNC,None,None,None,Equipped creature gets +1/+1 for each counter on it.\nEquipped permanent isn't a planeswalker and is a creature in addition to its other types. (Loyalty abilities can still be activated.)\nEquip planeswalker {1}\nEquip {3}
Halo Scarab,2.0,None,None,None,"['Artifact', 'Creature']",['Insect'],Common,SNC,2,1,None,"{2}, Exile Halo Scarab from your graveyard: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Gilded Pinions,2.0,None,None,None,['Artifact'],['Equipment'],Common,SNC,None,None,None,"When Gilded Pinions enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")\nEquipped creature has flying.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Getaway Car,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,SNC,4,3,None,"Haste\nWhenever Getaway Car attacks or blocks, return up to one target creature that crewed it this turn to its owner's hand.\nCrew 1"
Chrome Cat,3.0,None,None,None,"['Artifact', 'Creature']",['Cat'],Common,SNC,3,2,None,"When Chrome Cat enters the battlefield, scry 1."
Cement Shoes,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SNC,None,None,None,"Equipped creature gets +3/+3 and has ""At the beginning of your end step, tap this creature.""\nEquipped creature doesn't untap during its controller's untap step.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Brass Knuckles,4.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SNC,None,None,None,"When you cast this spell, copy it. (The copy becomes a token.)\nEquipped creature has double strike as long as two or more Equipment are attached to it.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Arc Spitter,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,SNC,None,None,None,"Equipped creature has ""{1}: This creature deals 1 damage to target creature that's blocking it.""\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Ziatora's Envoy,4.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Creature'],"['Viashino', 'Warrior']",Rare,SNC,5,4,None,"Trample\nWhenever Ziatora's Envoy deals combat damage to a player, look at the top card of your library. You may play a land from the top of your library or cast a spell with mana value less than or equal to the damage dealt from the top of your library without paying its mana cost. If you don't, put that card into your hand.\nBlitz {2}{B}{R}{G}"
"Ziatora, the Incinerator",6.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Demon', 'Dragon']",Mythic,SNC,6,6,None,"Flying\nAt the beginning of your end step, you may sacrifice another creature. When you do, Ziatora, the Incinerator deals damage equal to that creature's power to any target and you create three Treasure tokens."
Void Rend,3.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,['Instant'],None,Rare,SNC,None,None,None,This spell can't be countered.\nDestroy target nonland permanent.
Unleash the Inferno,4.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Instant'],None,Rare,SNC,None,None,None,"Unleash the Inferno deals 7 damage to target creature or planeswalker. When it deals excess damage this way, destroy target artifact or enchantment an opponent controls with mana value less than or equal to that amount of excess damage."
"Toluz, Clever Conductor",3.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Rogue']",Rare,SNC,3,1,None,"When Toluz, Clever Conductor enters the battlefield, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)\nWhenever you discard one or more cards, exile them from your graveyard.\nWhen Toluz dies, put the cards exiled with it into their owner's hand."
Tainted Indulgence,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Uncommon,SNC,None,None,None,Draw two cards. Then discard a card unless there are five or more mana values among cards in your graveyard.
A-Syndicate Infiltrator,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Vampire', 'Wizard']",Uncommon,SNC,3,3,None,"Flying, ward {2}\nAs long as there are five or more mana values among cards in your graveyard, Syndicate Infiltrator gets +2/+2."
Syndicate Infiltrator,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Vampire', 'Wizard']",Uncommon,SNC,3,3,None,"Flying\nAs long as there are five or more mana values among cards in your graveyard, Syndicate Infiltrator gets +2/+2."
