Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Desertion,5.0,['U'],['U'],None,['Instant'],None,Mythic,SPG,None,None,None,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard."
Mana Crypt,0.0,None,None,None,['Artifact'],None,Mythic,SPG,None,None,None,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.\n{T}: Add {C}{C}."
Bridge from Below,3.0,['B'],['B'],None,['Enchantment'],None,Rare,SPG,None,None,None,"Whenever a nontoken creature is put into your graveyard from the battlefield, if Bridge from Below is in your graveyard, create a 2/2 black Zombie creature token.\nWhen a creature is put into an opponent's graveyard from the battlefield, if Bridge from Below is in your graveyard, exile Bridge from Below."
Solitude,5.0,['W'],['W'],None,['Creature'],"['Elemental', 'Incarnation']",Mythic,SPG,3,2,None,"Flash\nLifelink\nWhen Solitude enters the battlefield, exile up to one other target creature. That creature's controller gains life equal to its power.\nEvoke—Exile a white card from your hand."
Prismatic Vista,0.0,None,None,None,['Land'],None,Mythic,SPG,None,None,None,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle."
"Mirri, Weatherlight Duelist",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Cat', 'Warrior']",Mythic,SPG,3,2,None,"First strike\nWhenever Mirri, Weatherlight Duelist attacks, each opponent can't block with more than one creature this combat.\nAs long as Mirri, Weatherlight Duelist is tapped, no more than one creature can attack you each combat."
"Dargo, the Shipwrecker",7.0,['R'],['R'],['Legendary'],['Creature'],"['Giant', 'Pirate']",Uncommon,SPG,7,5,None,"As an additional cost to cast this spell, you may sacrifice any number of artifacts and/or creatures. This spell costs {2} less to cast for each permanent sacrificed this way and {2} less to cast for each other artifact or creature you've sacrificed this turn.\nTrample\nPartner (You can have two commanders if both have partner.)"
Notion Thief,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Human', 'Rogue']",Mythic,SPG,3,1,None,"Flash\nIf an opponent would draw a card except the first one they draw in each of their draw steps, instead that player skips that draw and you draw a card."
Desert,0.0,None,None,None,['Land'],['Desert'],Mythic,SPG,None,None,None,{T}: Add {C}.\n{T}: Desert deals 1 damage to target attacking creature. Activate only during the end of combat step.
Drown in the Loch,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Mythic,SPG,None,None,None,Choose one —\n• Counter target spell with mana value less than or equal to the number of cards in its controller's graveyard.\n• Destroy target creature with mana value less than or equal to the number of cards in its controller's graveyard.
Lord of Atlantis,2.0,['U'],['U'],None,['Creature'],['Merfolk'],Rare,SPG,2,2,None,Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)
Morbid Opportunist,3.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Mythic,SPG,1,3,None,"Whenever one or more other creatures die, draw a card. This ability triggers only once each turn."
Tireless Tracker,3.0,['G'],['G'],None,['Creature'],"['Human', 'Scout']",Mythic,SPG,3,2,None,"Landfall — Whenever a land enters the battlefield under your control, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nWhenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker."
Mystic Snake,4.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Snake'],Mythic,SPG,2,2,None,"Flash\nWhen Mystic Snake enters the battlefield, counter target spell."
