Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shock,1.0,['R'],['R'],None,['Instant'],None,Uncommon,STA,None,None,None,Shock deals 2 damage to any target.
Mizzix's Mastery,4.0,['R'],['R'],None,['Sorcery'],None,Mythic,STA,None,None,None,"Exile target card that's an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix's Mastery.\nOverload {5}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Rare,STA,None,None,None,Lightning Bolt deals 3 damage to any target.
Infuriate,1.0,['R'],['R'],None,['Instant'],None,Uncommon,STA,None,None,None,Target creature gets +3/+2 until end of turn.
Increasing Vengeance,2.0,['R'],['R'],None,['Instant'],None,Mythic,STA,None,None,None,"Copy target instant or sorcery spell you control. If this spell was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.\nFlashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Grapeshot,2.0,['R'],['R'],None,['Sorcery'],None,Rare,STA,None,None,None,"Grapeshot deals 1 damage to any target.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Chaos Warp,3.0,['R'],['R'],None,['Instant'],None,Mythic,STA,None,None,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
Claim the Firstborn,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,STA,None,None,None,Gain control of target creature with mana value 3 or less until end of turn. Untap that creature. It gains haste until end of turn.
Faithless Looting,1.0,['R'],['R'],None,['Sorcery'],None,Rare,STA,None,None,None,"Draw two cards, then discard two cards.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Village Rites,1.0,['B'],['B'],None,['Instant'],None,Uncommon,STA,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nDraw two cards."
Tainted Pact,2.0,['B'],['B'],None,['Instant'],None,Mythic,STA,None,None,None,"Exile the top card of your library. You may put that card into your hand unless it has the same name as another card exiled this way. Repeat this process until you put a card into your hand or you exile two cards with the same name, whichever comes first."
