Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mind Peel,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,STH,None,None,None,"Buyback {2}{B}{B} (You may pay an additional {2}{B}{B} as you cast this spell. If you do, put this card into your hand as it resolves.)\nTarget player discards a card."
Volrath's Stronghold,0.0,None,['B'],['Legendary'],['Land'],None,Rare,STH,None,None,None,"{T}: Add {C}.\n{1}{B}, {T}: Put target creature card from your graveyard on top of your library."
Volrath's Laboratory,5.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,"As Volrath's Laboratory enters the battlefield, choose a color and a creature type.\n{5}, {T}: Create a 2/2 creature token of the chosen color and type."
Sword of the Chosen,2.0,None,None,['Legendary'],['Artifact'],None,Rare,STH,None,None,None,{T}: Target legendary creature gets +2/+2 until end of turn.
Shifting Wall,0.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,STH,0,0,None,Defender (This creature can't attack.)\nShifting Wall enters the battlefield with X +1/+1 counters on it.
Portcullis,4.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,"Whenever a creature enters the battlefield, if there are two or more other creatures on the battlefield, exile that creature. Return that card to the battlefield under its owner's control when Portcullis leaves the battlefield."
Mox Diamond,0.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add one mana of any color."
Jinxed Ring,2.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,"Whenever a nontoken permanent is put into your graveyard from the battlefield, Jinxed Ring deals 1 damage to you.\nSacrifice a creature: Target opponent gains control of Jinxed Ring. (This effect lasts indefinitely.)"
Hornet Cannon,4.0,None,None,None,['Artifact'],None,Uncommon,STH,None,None,None,"{3}, {T}: Create a 1/1 colorless Insect artifact creature token with flying and haste named Hornet. Destroy it at the beginning of the next end step."
Horn of Greed,3.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,"Whenever a player plays a land, that player draws a card."
Heartstone,3.0,None,None,None,['Artifact'],None,Uncommon,STH,None,None,None,Activated abilities of creatures cost {1} less to activate. This effect can't reduce the mana in that cost to less than one mana.
Ensnaring Bridge,3.0,None,None,None,['Artifact'],None,Rare,STH,None,None,None,Creatures with power greater than the number of cards in your hand can't attack.
Bullwhip,4.0,None,None,None,['Artifact'],None,Uncommon,STH,None,None,None,"{2}, {T}: Bullwhip deals 1 damage to target creature. That creature attacks this turn if able."
Victual Sliver,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Sliver'],Uncommon,STH,2,2,None,"All Slivers have ""{2}, Sacrifice this permanent: You gain 4 life."""
Spined Sliver,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Sliver'],Uncommon,STH,2,2,None,"Whenever a Sliver becomes blocked, that Sliver gets +1/+1 until end of turn for each creature blocking it."
Sliver Queen,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Sliver'],Rare,STH,7,7,None,{2}: Create a 1/1 colorless Sliver creature token.
Hibernation Sliver,2.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Sliver'],Uncommon,STH,2,2,None,"All Slivers have ""Pay 2 life: Return this permanent to its owner's hand."""
Crystalline Sliver,2.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Sliver'],Uncommon,STH,2,2,None,All Slivers have shroud. (They can't be the targets of spells or abilities.)
Acidic Sliver,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Sliver'],Uncommon,STH,2,2,None,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target."""
Wall of Blossoms,2.0,['G'],['G'],None,['Creature'],"['Plant', 'Wall']",Uncommon,STH,0,4,None,"Defender\nWhen Wall of Blossoms enters the battlefield, draw a card."
