Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vampire Champion Fury,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Hellbent — This creature gets +3/+3 as long as you have no cards in hand.\n{TK}{TK}{TK}{TK} — {2}, Sacrifice this creature: It deals X damage divided as you choose among any number of target creatures, where X is its power.\n{TK}{TK} — 1/5\n{TK}{TK}{TK} — 6/3"
Unassuming Gelatinous Serpent,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — When this permanent dies, return target noncreature, nonland card from your graveyard to your hand.\n{TK}{TK}{TK}{TK} — Whenever this creature deals combat damage to a player, that player mills twice that many cards.\n{TK}{TK} — 2/3\n{TK}{TK}{TK} — 7/2"
Weird Angel Flame,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Heroic — Whenever you cast a spell that targets this permanent, put two +1/+1 counters on it.\n{TK}{TK}{TK} — Protection from even mana values\n{TK}{TK} — 2/3\n{TK}{TK}{TK}{TK}{TK} — 7/8"
Yawgmoth Merfolk Soul,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — When this permanent leaves the battlefield, target player discards a card.\n{TK}{TK}{TK}{TK}{TK} — When this permanent leaves the battlefield, create five 1/1 white Clown Robot artifact creature tokens.\n{TK}{TK} — 3/3\n{TK}{TK}{TK}{TK} — 6/5"
Sassy Gremlin Blood,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Whenever this creature attacks, create a Treasure token.\n{TK}{TK}{TK}{TK}{TK} — {3}: Target creature gains flying until end of turn.\n{TK}{TK} — 3/2\n{TK}{TK}{TK}{TK}{TK}{TK} — 10/10"
Notorious Sliver War,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,{TK}{TK} — {5}: Creatures you control get +1/+1 until end of turn.\n{TK}{TK}{TK} — Protection from creatures with two or more creature types\n{TK}{TK} — 3/3\n{TK}{TK}{TK}{TK}{TK} — 9/6
Wild Ogre Bupkis,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Whenever this creature attacks, put a +1/+1 counter on it.\n{TK}{TK}{TK} — Metalcraft — This permanent has protection from noncreature permanents as long as you control three or more artifacts.\n{TK}{TK} — 5/1\n{TK}{TK}{TK}{TK} — 7/4"
Unhinged Beast Hunt,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {T}: You gain 1 life.\n{TK}{TK}{TK}{TK} — Whenever this creature attacks, tap each creature an opponent controls with the same power and/or same toughness as this creature.\n{TK}{TK} — 4/1\n{TK}{TK}{TK} — 2/6"
Urza's Dark Cannonball,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Exalted, exalted (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)\n{TK}{TK}{TK} — Shadow (This creature can block or be blocked only by creatures with shadow.)\n{TK}{TK} — 1/5\n{TK}{TK}{TK}{TK} — 7/4"
Primal Elder Kitty,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {1}: This creature gets +1/-1 until end of turn.\n{TK}{TK}{TK} — When this creature dies, you may put X +1/+1 counters on target creature, where X is this creature's power.\n{TK}{TK} — 5/1\n{TK}{TK}{TK}{TK} — 4/7"
Werewolf Lightning Mage,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on this permanent.\n{TK}{TK}{TK}{TK} — Whenever a creature blocks this creature, that creature gets -4/-4 until end of turn.\n{TK}{TK} — 4/1\n{TK}{TK}{TK} — 3/5"
Geek Lotus Warrior,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {2}: This creature gets +2/+0 until end of turn.\n{TK}{TK}{TK}{TK} — Whenever a creature enters the battlefield under your control, this permanent deals 2 damage to target player.\n{TK}{TK} — 4/1\n{TK}{TK}{TK} — 3/6"
Wrinkly Monkey Shenanigans,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {1}: Target creature can't block this creature this turn.\n{TK}{TK}{TK}{TK} — Morbid — At the beginning of each end step, if a creature died this turn and this permanent is a creature, put a -1/-1 counter on this permanent and draw a card.\n{TK}{TK} — 2/4\n{TK}{TK}{TK} — 7/2"
Elemental Time Flamingo,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Exile this permanent: You may cast target nonland card from your graveyard this turn.\n{TK}{TK}{TK}{TK} — Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.\n{TK}{TK} — 1/5\n{TK}{TK}{TK} — 5/4"
Unstable Robot Dragon,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {1}: Switch this creature's power and toughness until end of turn.\n{TK}{TK}{TK}{TK} — Whenever this creature attacks, it gets +5/+5 until end of turn.\n{TK}{TK} — 3/2\n{TK}{TK}{TK} — 2/7"
Playable Delusionary Hydra,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {T}: Draw a card, then discard a card.\n{TK}{TK}{TK}{TK} — Whenever this creature attacks, you gain 3 life and draw a card.\n{TK}{TK} — 1/5\n{TK}{TK}{TK} — 4/4"
Space Fungus Snickerdoodle,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Skulk (This creature can't be blocked by creatures with greater power.)\n{TK}{TK}{TK} — Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\n{TK}{TK} — 3/2\n{TK}{TK}{TK}{TK}{TK} — 6/8"
Cool Fluffy Loxodon,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — When this permanent leaves the battlefield, draw a card.\n{TK}{TK}{TK}{TK}{TK} — Whenever a creature enters the battlefield under your control, this permanent becomes a 13/13 Eldrazi creature in addition to its other types until end of turn.\n{TK}{TK} — 4/2\n{TK}{TK}{TK}{TK} — 5/6"
Squid Fire Knight,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {T}: The next time target player would roll one or more dice this turn, instead they roll that many dice plus one, then you choose one of those rolls to ignore.\n{TK}{TK}{TK} — Protection from odd mana values\n{TK}{TK} — 4/1\n{TK}{TK}{TK}{TK} — 6/6"
Snazzy Aether Homunculus,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {1}: Target creature gains all creature types until end of turn.\n{TK}{TK}{TK} — Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.\n{TK}{TK} — 2/4\n{TK}{TK}{TK}{TK}{TK} — 8/7"
Unique Charmed Pants,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — {T}: Add one mana of any color.\n{TK}{TK}{TK} — Whenever this creature attacks, if it's not a Brushwagg, it gets +X/+0 until end of turn, where X is the number of supertypes, card types, and subtypes it has.\n{TK}{TK} — 5/1\n{TK}{TK}{TK}{TK} — 4/8"
Giant Mana Cake,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — When this permanent leaves the battlefield, create two Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n{TK}{TK}{TK}{TK} — When this permanent dies, destroy target nonland permanent.\n{TK}{TK} — 3/3\n{TK}{TK}{TK} — 6/2"
Familiar Beeble Mascot,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Whenever this creature attacks, untap target permanent.\n{TK}{TK}{TK}{TK} — Whenever a creature enters the battlefield under your control, creatures you control get +1/+1 until end of turn.\n{TK}{TK} — 2/3\n{TK}{TK}{TK} — 5/3"
Ancestral Hot Dog Minotaur,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Afflict 2 (Whenever this creature becomes blocked, defending player loses 2 life.)\n{TK}{TK}{TK} — Flying\n{TK}{TK} — 1/4\n{TK}{TK}{TK}{TK}{TK} — 8/6"
Cursed Firebreathing Yogurt,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Prowess, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn twice.)\n{TK}{TK}{TK}{TK}{TK} — {2}, {T}: This permanent deals 2 damage to any target.\n{TK}{TK} — 4/2\n{TK}{TK}{TK}{TK} — 4/8"
Demonic Tourist Laser,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Outlast {1} ({1}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\n{TK}{TK}{TK} — When this permanent dies, you get seven {TK}.\n{TK}{TK} — 1/4\n{TK}{TK}{TK}{TK}{TK} — 9/6"
Jetpack Death Seltzer,0.0,None,None,None,['Stickers'],None,Common,SUNF,None,None,None,"{TK}{TK} — Trample\n{TK}{TK}{TK} — {3}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)\n{TK}{TK}{TK} — 2/7\n{TK}{TK}{TK}{TK} — 6/5"
