Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Massacre Totem,0.0,None,None,None,['Artifact'],None,Common,TBTH,None,None,None,"At the beginning of the Horde's precombat main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.\nHero's Reward — When Massacre Totem is put into a graveyard from anywhere, put the top seven cards of the Horde's library into its graveyard."
Touch of the Horned God,0.0,None,None,None,['Sorcery'],None,Common,TBTH,None,None,None,"Whenever a Minotaur attacks this turn, it gains deathtouch until end of turn."
Descend on the Prey,0.0,None,None,None,['Sorcery'],None,Common,TBTH,None,None,None,"Whenever a Minotaur attacks this turn, it gains first strike until end of turn and must be blocked this turn if able."
Altar of Mogis,0.0,None,None,None,['Artifact'],None,Common,TBTH,None,None,None,"At the beginning of the Horde's precombat main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.\nHero's Reward — When Altar of Mogis is put into a graveyard from anywhere, the Horde sacrifices two Minotaurs."
Vitality Salve,0.0,None,None,None,['Artifact'],None,Common,TBTH,None,None,None,"At the beginning of the Horde's precombat main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.\nHero's Reward — When Vitality Salve is put into a graveyard from anywhere, each player returns a creature card from their graveyard to the battlefield."
Refreshing Elixir,0.0,None,None,None,['Artifact'],None,Common,TBTH,None,None,None,"At the beginning of the Horde's precombat main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.\nHero's Reward — When Refreshing Elixir is put into a graveyard from anywhere, each player gains 5 life."
Unquenchable Fury,0.0,None,None,None,['Sorcery'],None,Common,TBTH,None,None,None,Each Minotaur can't be blocked this turn except by two or more creatures.
Consuming Rage,0.0,None,None,None,['Sorcery'],None,Common,TBTH,None,None,None,"Whenever a Minotaur attacks this turn, it gets +2/+0 until end of turn. Destroy that creature at end of combat."
Plundered Statue,0.0,None,None,None,['Artifact'],None,Common,TBTH,None,None,None,"At the beginning of the Horde's precombat main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.\nHero's Reward — When Plundered Statue is put into a graveyard from anywhere, each player draws a card."
Intervention of Keranos,0.0,None,None,None,['Sorcery'],None,Common,TBTH,None,None,None,"At the beginning of combat this turn, Intervention of Keranos deals 3 damage to each creature."
