Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,TD2,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,TD2,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,TD2,None,None,None,({T}: Add {G}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,TD2,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,TD2,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,TD2,None,None,None,({T}: Add {B}.)
Tainted Wood,0.0,None,"['B', 'G']",None,['Land'],None,Uncommon,TD2,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Activate only if you control a Swamp.
Black Sun's Zenith,2.0,['B'],['B'],None,['Sorcery'],None,Rare,TD2,None,None,None,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.
One Dozen Eyes,6.0,['G'],['G'],None,['Sorcery'],None,Uncommon,TD2,None,None,None,Choose one —\n• Create a 5/5 green Beast creature token.\n• Create five 1/1 green Insect creature tokens.\nEntwine {G}{G}{G} (Choose both if you pay the entwine cost.)
Spread the Sickness,5.0,['B'],['B'],None,['Sorcery'],None,Common,TD2,None,None,None,"Destroy target creature, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Triumph of the Hordes,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,TD2,None,None,None,"Until end of turn, creatures you control get +1/+1 and gain trample and infect. (Creatures with infect deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)"
Reprocess,4.0,['B'],['B'],None,['Sorcery'],None,Rare,TD2,None,None,None,"Sacrifice any number of artifacts, creatures, and/or lands. Draw a card for each permanent sacrificed this way."
Barter in Blood,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,TD2,None,None,None,Each player sacrifices two creatures.
Diabolic Servitude,4.0,['B'],['B'],None,['Enchantment'],None,Uncommon,TD2,None,None,None,"When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.\nWhen the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.\nWhen Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude."
Grafted Exoskeleton,4.0,None,None,None,['Artifact'],['Equipment'],Uncommon,TD2,None,None,None,"Equipped creature gets +2/+2 and has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nWhenever Grafted Exoskeleton becomes unattached from a permanent, sacrifice that permanent.\nEquip {2}"
Putrefy,3.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Uncommon,TD2,None,None,None,Destroy target artifact or creature. It can't be regenerated.
Morbid Plunder,3.0,['B'],['B'],None,['Sorcery'],None,Common,TD2,None,None,None,Return up to two target creature cards from your graveyard to your hand.
Phyrexian Altar,3.0,None,None,None,['Artifact'],None,Rare,TD2,None,None,None,Sacrifice a creature: Add one mana of any color.
Exhume,2.0,['B'],['B'],None,['Sorcery'],None,Common,TD2,None,None,None,Each player puts a creature card from their graveyard onto the battlefield.
Spawning Pit,2.0,None,None,None,['Artifact'],None,Uncommon,TD2,None,None,None,"Sacrifice a creature: Put a charge counter on Spawning Pit.\n{1}, Remove two charge counters from Spawning Pit: Create a 2/2 colorless Spawn artifact creature token."
Mortarpod,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,TD2,None,None,None,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +0/+1 and has ""Sacrifice this creature: This creature deals 1 damage to any target.""\nEquip {2}"
Contagion Clasp,2.0,None,None,None,['Artifact'],None,Uncommon,TD2,None,None,None,"When Contagion Clasp enters the battlefield, put a -1/-1 counter on target creature.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Innocent Blood,1.0,['B'],['B'],None,['Sorcery'],None,Common,TD2,None,None,None,Each player sacrifices a creature.
Protean Hulk,7.0,['G'],['G'],None,['Creature'],['Beast'],Rare,TD2,6,6,None,"When Protean Hulk dies, search your library for any number of creature cards with total mana value 6 or less, put them onto the battlefield, then shuffle."
Drooling Groodion,6.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Beast'],Uncommon,TD2,4,3,None,"{2}{B}{G}, Sacrifice a creature: Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn."
Phyrexian Juggernaut,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Juggernaut']",Uncommon,TD2,5,5,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nPhyrexian Juggernaut attacks each combat if able.
Plaguemaw Beast,5.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Beast']",Uncommon,TD2,4,3,None,"{T}, Sacrifice a creature: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Mitotic Slime,5.0,['G'],['G'],None,['Creature'],['Ooze'],Rare,TD2,4,4,None,"When Mitotic Slime dies, create two 2/2 green Ooze creature tokens. They have ""When this creature dies, create two 1/1 green Ooze creature tokens."""
Soul Snuffers,4.0,['B'],['B'],None,['Creature'],"['Elemental', 'Shaman']",Uncommon,TD2,3,3,None,"When Soul Snuffers enters the battlefield, put a -1/-1 counter on each creature."
Symbiotic Elf,4.0,['G'],['G'],None,['Creature'],['Elf'],Common,TD2,2,2,None,"When Symbiotic Elf dies, create two 1/1 green Insect creature tokens."
Flesh-Eater Imp,4.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Imp']",Uncommon,TD2,2,2,None,Flying\nInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nSacrifice a creature: Flesh-Eater Imp gets +1/+1 until end of turn.
Desecration Elemental,4.0,['B'],['B'],None,['Creature'],['Elemental'],Rare,TD2,8,8,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhenever a player casts a spell, sacrifice a creature."
Viridian Corrupter,3.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Elf', 'Shaman']",Uncommon,TD2,2,2,None,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nWhen Viridian Corrupter enters the battlefield, destroy target artifact."
Necroskitter,3.0,['B'],['B'],None,['Creature'],['Elemental'],Rare,TD2,1,4,None,"Wither (This deals damage to creatures in the form of -1/-1 counters.)\nWhenever a creature an opponent controls with a -1/-1 counter on it dies, you may return that card to the battlefield under your control."
Rot Wolf,3.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Wolf']",Common,TD2,2,2,None,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nWhenever a creature dealt damage by Rot Wolf this turn dies, you may draw a card."
Phyrexian Ghoul,3.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Zombie']",Common,TD2,2,2,None,Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.
Viridian Emissary,2.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Elf', 'Scout']",Common,TD2,2,1,None,"When Viridian Emissary dies, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Plague Myr,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Uncommon,TD2,1,1,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n{T}: Add {C}.
Myr Sire,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Common,TD2,1,1,None,"When Myr Sire dies, create a 1/1 colorless Phyrexian Myr artifact creature token."
Fume Spitter,1.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Horror']",Common,TD2,1,1,None,Sacrifice Fume Spitter: Put a -1/-1 counter on target creature.
Phyrexian Plaguelord,5.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Carrier']",Mythic,TD2,4,4,None,"{T}, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.\nSacrifice a creature: Target creature gets -1/-1 until end of turn."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,TD2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,TD2,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,TD2,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,TD2,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,TD2,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,TD2,None,None,None,({T}: Add {W}.)
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,TD2,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Seat of the Synod,0.0,None,['U'],None,"['Artifact', 'Land']",None,Common,TD2,None,None,None,{T}: Add {U}.
Forbidding Watchtower,0.0,None,['W'],None,['Land'],None,Uncommon,TD2,None,None,None,Forbidding Watchtower enters the battlefield tapped.\n{T}: Add {W}.\n{1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.
Coastal Tower,0.0,None,"['U', 'W']",None,['Land'],None,Uncommon,TD2,None,None,None,Coastal Tower enters the battlefield tapped.\n{T}: Add {W} or {U}.
Blinkmoth Nexus,0.0,None,None,None,['Land'],None,Rare,TD2,None,None,None,"{T}: Add {C}.\n{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.\n{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn."
Ancient Den,0.0,None,['W'],None,"['Artifact', 'Land']",None,Common,TD2,None,None,None,{T}: Add {W}.
White Sun's Zenith,3.0,['W'],['W'],None,['Instant'],None,Rare,TD2,None,None,None,Create X 2/2 white Cat creature tokens. Shuffle White Sun's Zenith into its owner's library.
Stoic Rebuttal,3.0,['U'],['U'],None,['Instant'],None,Common,TD2,None,None,None,Metalcraft — This spell costs {1} less to cast if you control three or more artifacts.\nCounter target spell.
Thirst for Knowledge,3.0,['U'],['U'],None,['Instant'],None,Uncommon,TD2,None,None,None,Draw three cards. Then discard two cards unless you discard an artifact card.
Darksteel Gargoyle,7.0,None,None,None,"['Artifact', 'Creature']",['Gargoyle'],Uncommon,TD2,3,3,None,"Flying\nIndestructible (Damage and effects that say ""destroy"" don't destroy this creature.)"
Test of Faith,2.0,['W'],['W'],None,['Instant'],None,Uncommon,TD2,None,None,None,"Prevent the next 3 damage that would be dealt to target creature this turn. For each 1 damage prevented this way, put a +1/+1 counter on that creature."
Thunderstaff,3.0,None,None,None,['Artifact'],None,Uncommon,TD2,None,None,None,"As long as Thunderstaff is untapped, if a creature would deal combat damage to you, prevent 1 of that damage.\n{2}, {T}: Attacking creatures get +1/+0 until end of turn."
Arrest,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,TD2,None,None,None,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated."
Turn the Tide,2.0,['U'],['U'],None,['Instant'],None,Common,TD2,None,None,None,Creatures your opponents control get -2/-0 until end of turn.
Purge,2.0,['W'],['W'],None,['Instant'],None,Uncommon,TD2,None,None,None,Destroy target artifact creature or black creature. It can't be regenerated.
Viridian Claw,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,TD2,None,None,None,Equipped creature gets +1/+0 and has first strike.\nEquip {1}
Talisman of Progress,2.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,TD2,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Talisman of Progress deals 1 damage to you.
Neurok Stealthsuit,2.0,None,['U'],None,['Artifact'],['Equipment'],Common,TD2,None,None,None,Equipped creature has shroud. (It can't be the target of spells or abilities.)\n{U}{U}: Attach Neurok Stealthsuit to target creature you control.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Steelshaper's Gift,1.0,['W'],['W'],None,['Sorcery'],None,Uncommon,TD2,None,None,None,"Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle."
