Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sphinx Mindbreaker,7.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,THB,6,6,None,"Flying\nWhen Sphinx Mindbreaker enters the battlefield, each opponent mills ten cards."
Victory's Envoy,5.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,THB,3,3,None,"At the beginning of your upkeep, put a +1/+1 counter on each other creature you control."
Grasping Giant,6.0,['W'],['W'],None,['Creature'],['Giant'],Rare,THB,5,7,None,"Vigilance\nWhenever Grasping Giant becomes blocked by a creature, exile that creature until Grasping Giant leaves the battlefield."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,THB,None,None,None,({T}: Add {G}.)
Sunlit Hoplite,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,THB,2,1,None,"As long as it's your turn, Sunlit Hoplite has first strike.\nSunlit Hoplite gets +1/+0 as long as you control an Elspeth planeswalker."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,THB,None,None,None,({T}: Add {B}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,THB,None,None,None,({T}: Add {R}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,THB,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,THB,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,THB,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,THB,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,THB,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,THB,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,THB,None,None,None,({T}: Add {W}.)
"Ashiok, Sculptor of Fears",6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Planeswalker'],['Ashiok'],Mythic,THB,None,None,4,[+2]: Draw a card. Each player mills two cards.\n[−5]: Put target creature card from a graveyard onto the battlefield under your control.\n[−11]: Gain control of all creatures target opponent controls.
Ashiok's Forerunner,5.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Rare,THB,3,3,None,"Flash\nWhen Ashiok's Forerunner enters the battlefield, you may search your library and/or graveyard for a card named Ashiok, Sculptor of Fears, reveal it, and put it into your hand. If you search your library this way, shuffle."
Elspeth's Devotee,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,THB,3,3,None,"When Elspeth's Devotee enters the battlefield, you may search your library and/or graveyard for a card named Elspeth, Undaunted Hero, reveal it, and put it into your hand. If you search your library this way, shuffle."
Mindwrack Harpy,4.0,['B'],['B'],None,"['Enchantment', 'Creature']",['Harpy'],Common,THB,3,2,None,"Flying\nAt the beginning of combat on your turn, each player mills three cards."
Swimmer in Nightmares,3.0,['U'],['U'],None,['Creature'],"['Nightmare', 'Merfolk']",Uncommon,THB,1,4,None,Swimmer in Nightmares gets +3/+0 as long as there are ten or more cards in a single graveyard.\nSwimmer in Nightmares can't be blocked as long as you control an Ashiok planeswalker.
Eidolon of Inspiration,3.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Spirit'],Uncommon,THB,2,2,None,"At the beginning of combat on your turn, target creature you control gets +2/+0 until end of turn."
"Aphemia, the Cacophony",2.0,['B'],['B'],['Legendary'],"['Enchantment', 'Creature']",['Harpy'],Rare,THB,2,1,None,"Flying\nAt the beginning of your end step, you may exile an enchantment card from your graveyard. If you do, create a 2/2 black Zombie creature token."
Agonizing Remorse,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,THB,None,None,None,Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.
Witness of Tomorrows,5.0,['U'],['U'],None,"['Enchantment', 'Creature']",['Sphinx'],Common,THB,3,4,None,Flying\n{3}{U}: Scry 1.
Whirlwind Denial,3.0,['U'],['U'],None,['Instant'],None,Uncommon,THB,None,None,None,"For each spell and ability your opponents control, counter it unless its controller pays {4}."
Wavebreak Hippocamp,3.0,['U'],['U'],None,"['Enchantment', 'Creature']","['Horse', 'Fish']",Rare,THB,2,2,None,"Whenever you cast your first spell during each opponent's turn, draw a card."
Vexing Gull,3.0,['U'],['U'],None,['Creature'],['Bird'],Common,THB,2,2,None,Flash\nFlying
Triton Waverider,4.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Common,THB,3,3,None,"Constellation — Whenever an enchantment enters the battlefield under your control, Triton Waverider gains flying until end of turn."
Towering-Wave Mystic,2.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Common,THB,2,1,None,"Whenever Towering-Wave Mystic deals damage, target player mills that many cards."
"Thryx, the Sudden Storm",5.0,['U'],['U'],['Legendary'],['Creature'],"['Elemental', 'Giant']",Rare,THB,4,5,None,Flash\nFlying\nSpells you cast with mana value 5 or greater cost {1} less to cast and can't be countered.
Threnody Singer,2.0,['U'],['U'],None,['Creature'],['Siren'],Uncommon,THB,1,3,None,"Flash\nFlying\nWhen Threnody Singer enters the battlefield, target creature an opponent controls gets -X/-0 until end of turn, where X is your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)"
Thirst for Meaning,3.0,['U'],['U'],None,['Instant'],None,Common,THB,None,None,None,Draw three cards. Then discard two cards unless you discard an enchantment card.
Thassa's Oracle,2.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Rare,THB,1,3,None,"When Thassa's Oracle enters the battlefield, look at the top X cards of your library, where X is your devotion to blue. Put up to one of them on top of your library and the rest on the bottom of your library in a random order. If X is greater than or equal to the number of cards in your library, you win the game. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)"
Thassa's Intervention,2.0,['U'],['U'],None,['Instant'],None,Rare,THB,None,None,None,Choose one —\n• Look at the top X cards of your library. Put up to two of them into your hand and the rest on the bottom of your library in a random order.\n• Counter target spell unless its controller pays twice {X}.
"Thassa, Deep-Dwelling",4.0,['U'],['U'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,THB,6,5,None,"Indestructible\nAs long as your devotion to blue is less than five, Thassa isn't a creature.\nAt the beginning of your end step, exile up to one other target creature you control, then return that card to the battlefield under your control.\n{3}{U}: Tap another target creature."
Sweet Oblivion,2.0,['U'],['U'],None,['Sorcery'],None,Uncommon,THB,None,None,None,"Target player mills four cards.\nEscape—{3}{U}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)"
Stinging Lionfish,2.0,['U'],['U'],None,"['Enchantment', 'Creature']",['Fish'],Uncommon,THB,2,1,None,"Whenever you cast your first spell during each opponent's turn, you may tap or untap target nonland permanent."
Stern Dismissal,1.0,['U'],['U'],None,['Instant'],None,Common,THB,None,None,None,Return target creature or enchantment an opponent controls to its owner's hand.
Starlit Mantle,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,THB,None,None,None,"Flash\nEnchant creature you control\nWhen Starlit Mantle enters the battlefield, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)\nEnchanted creature gets +1/+1."
Sleep of the Dead,1.0,['U'],['U'],None,['Sorcery'],None,Common,THB,None,None,None,"Tap target creature. It doesn't untap during its controller's next untap step.\nEscape—{2}{U}, Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)"
Shoal Kraken,5.0,['U'],['U'],None,['Creature'],['Kraken'],Uncommon,THB,3,5,None,"Constellation — Whenever an enchantment enters the battlefield under your control, you may draw a card. If you do, discard a card."
Shimmerwing Chimera,4.0,['U'],['U'],None,"['Enchantment', 'Creature']",['Chimera'],Uncommon,THB,3,2,None,"Flying\nAt the beginning of your upkeep, return up to one other target enchantment you control to its owner's hand."
Sea God's Scorn,6.0,['U'],['U'],None,['Sorcery'],None,Uncommon,THB,None,None,None,Return up to three target creatures and/or enchantments to their owners' hands.
