Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Knight of Dawn,3.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Uncommon,TMP,2,2,None,First strike\n{W}{W}: Knight of Dawn gains protection from the color of your choice until end of turn.
Humility,4.0,['W'],['W'],None,['Enchantment'],None,Rare,TMP,None,None,None,All creatures lose all abilities and have base power and toughness 1/1.
Circle of Protection: Green,2.0,['W'],['W'],None,['Enchantment'],None,Common,TMP,None,None,None,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage."
Gerrard's Battle Cry,1.0,['W'],['W'],None,['Enchantment'],None,Rare,TMP,None,None,None,{2}{W}: Creatures you control get +1/+1 until end of turn.
Gallantry,2.0,['W'],['W'],None,['Instant'],None,Uncommon,TMP,None,None,None,Target blocking creature gets +4/+4 until end of turn.\nDraw a card.
Elite Javelineer,3.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,TMP,2,2,None,"Whenever Elite Javelineer blocks, it deals 1 damage to target attacking creature."
Circle of Protection: White,2.0,['W'],['W'],None,['Enchantment'],None,Common,TMP,None,None,None,"{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage."
Circle of Protection: Red,2.0,['W'],['W'],None,['Enchantment'],None,Common,TMP,None,None,None,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage."
Circle of Protection: Blue,2.0,['W'],['W'],None,['Enchantment'],None,Common,TMP,None,None,None,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage."
Circle of Protection: Shadow,2.0,['W'],['W'],None,['Enchantment'],None,Common,TMP,None,None,None,"{1}: The next time a creature of your choice with shadow would deal damage to you this turn, prevent that damage."
Talon Sliver,2.0,['W'],['W'],None,['Creature'],['Sliver'],Common,TMP,1,1,None,All Sliver creatures have first strike.
Soltari Trooper,2.0,['W'],['W'],None,['Creature'],"['Soltari', 'Soldier']",Common,TMP,1,1,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever Soltari Trooper attacks, it gets +1/+1 until end of turn."
Soltari Foot Soldier,1.0,['W'],['W'],None,['Creature'],"['Soltari', 'Soldier']",Common,TMP,1,1,None,Shadow (This creature can block or be blocked by only creatures with shadow.)
Soltari Priest,2.0,['W'],['W'],None,['Creature'],"['Soltari', 'Cleric']",Uncommon,TMP,2,1,None,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.)
Safeguard,5.0,['W'],['W'],None,['Enchantment'],None,Rare,TMP,None,None,None,{2}{W}: Prevent all combat damage that would be dealt by target creature this turn.
Repentance,3.0,['W'],['W'],None,['Sorcery'],None,Uncommon,TMP,None,None,None,Target creature deals damage to itself equal to its power.
Sacred Guide,1.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,TMP,1,1,None,"{1}{W}, Sacrifice Sacred Guide: Reveal cards from the top of your library until you reveal a white card. Put that card into your hand and exile all other cards revealed this way."
Armored Pegasus,2.0,['W'],['W'],None,['Creature'],['Pegasus'],Common,TMP,1,2,None,Flying
Avenging Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Rare,TMP,3,3,None,"Flying\nWhen Avenging Angel dies, you may put it on top of its owner's library."
Serene Offering,2.0,['W'],['W'],None,['Instant'],None,Uncommon,TMP,None,None,None,Destroy target enchantment. You gain life equal to its mana value.
