Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Equal Treatment,2.0,['W'],['W'],None,['Instant'],None,Uncommon,TOR,None,None,None,"If any source would deal 1 or more damage to a permanent or player this turn, it deals 2 damage to that permanent or player instead.\nDraw a card."
Tainted Wood,0.0,None,"['B', 'G']",None,['Land'],None,Uncommon,TOR,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Activate only if you control a Swamp.
Tainted Peak,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,TOR,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Activate only if you control a Swamp.
Tainted Isle,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,TOR,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Activate only if you control a Swamp.
Tainted Field,0.0,None,"['B', 'W']",None,['Land'],None,Uncommon,TOR,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Activate only if you control a Swamp.
Cabal Coffers,0.0,None,['B'],None,['Land'],None,Uncommon,TOR,None,None,None,"{2}, {T}: Add {B} for each Swamp you control."
Seton's Scout,2.0,['G'],['G'],None,['Creature'],"['Centaur', 'Druid', 'Scout', 'Archer']",Uncommon,TOR,2,1,None,Reach (This creature can block creatures with flying.)\nThreshold — Seton's Scout gets +2/+2 as long as seven or more cards are in your graveyard.
Possessed Centaur,4.0,['G'],"['B', 'G']",None,['Creature'],"['Centaur', 'Horror']",Rare,TOR,3,3,None,"Trample\nThreshold — As long as seven or more cards are in your graveyard, Possessed Centaur gets +1/+1, is black, and has ""{2}{B}, {T}: Destroy target green creature."""
Parallel Evolution,5.0,['G'],['G'],None,['Sorcery'],None,Rare,TOR,None,None,None,"For each creature token on the battlefield, its controller creates a token that's a copy of that creature.\nFlashback {4}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Nostalgic Dreams,2.0,['G'],['G'],None,['Sorcery'],None,Rare,TOR,None,None,None,"As an additional cost to cast this spell, discard X cards.\nReturn X target cards from your graveyard to your hand. Exile Nostalgic Dreams."
Narcissism,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,TOR,None,None,None,"{G}, Discard a card: Target creature gets +2/+2 until end of turn.\n{G}, Sacrifice Narcissism: Target creature gets +2/+2 until end of turn."
Nantuko Cultivator,4.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Rare,TOR,2,2,None,"When Nantuko Cultivator enters the battlefield, you may discard any number of land cards. Put that many +1/+1 counters on Nantuko Cultivator and draw that many cards."
Nantuko Calmer,4.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Common,TOR,2,3,None,"{G}, {T}, Sacrifice Nantuko Calmer: Destroy target enchantment.\nThreshold — Nantuko Calmer gets +1/+1 as long as seven or more cards are in your graveyard."
Nantuko Blightcutter,3.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Rare,TOR,2,2,None,Protection from black\nThreshold — Nantuko Blightcutter gets +1/+1 for each black permanent your opponents control as long as seven or more cards are in your graveyard.
Krosan Restorer,3.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Common,TOR,1,2,None,{T}: Untap target land.\nThreshold — {T}: Untap up to three target lands. Activate only if seven or more cards are in your graveyard.
Krosan Constrictor,4.0,['G'],['G'],None,['Creature'],['Snake'],Common,TOR,2,2,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\n{T}: Target black creature gets -2/-0 until end of turn.
Invigorating Falls,4.0,['G'],['G'],None,['Sorcery'],None,Common,TOR,None,None,None,You gain life equal to the number of creature cards in all graveyards.
Insist,1.0,['G'],['G'],None,['Sorcery'],None,Rare,TOR,None,None,None,The next creature spell you cast this turn can't be countered.\nDraw a card.
