Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shaman en-Kor,2.0,['W'],['W'],None,['Creature'],"['Kor', 'Cleric', 'Shaman']",Rare,TPR,1,2,None,"{0}: The next 1 damage that would be dealt to Shaman en-Kor this turn is dealt to target creature you control instead.\n{1}{W}: The next time a source of your choice would deal damage to target creature this turn, that damage is dealt to Shaman en-Kor instead."
Shackles,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,TPR,None,None,None,Enchant creature\nEnchanted creature doesn't untap during its controller's untap step.\n{W}: Return Shackles to its owner's hand.
Repentance,3.0,['W'],['W'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,Target creature deals damage to itself equal to its power.
Pegasus Stampede,2.0,['W'],['W'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,"Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nCreate a 1/1 white Pegasus creature token with flying."
Paladin en-Vec,3.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,TPR,2,2,None,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)"
Pacifism,2.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,TPR,None,None,None,Enchant creature\nEnchanted creature can't attack or block.
"Orim, Samite Healer",3.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Cleric']",Rare,TPR,1,3,None,{T}: Prevent the next 3 damage that would be dealt to any target this turn.
Nomads en-Kor,1.0,['W'],['W'],None,['Creature'],"['Kor', 'Nomad', 'Soldier']",Common,TPR,1,1,None,{0}: The next 1 damage that would be dealt to Nomads en-Kor this turn is dealt to target creature you control instead.
Forbid,3.0,['U'],['U'],None,['Instant'],None,Rare,TPR,None,None,None,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nCounter target spell."
Mounted Archers,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier', 'Archer']",Common,TPR,2,3,None,Reach (This creature can block creatures with flying.)\n{W}: Mounted Archers can block an additional creature this turn.
Fighting Drake,4.0,['U'],['U'],None,['Creature'],['Drake'],Uncommon,TPR,2,4,None,Flying
Master Decoy,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,TPR,1,2,None,"{W}, {T}: Tap target creature."
Ephemeron,6.0,['U'],['U'],None,['Creature'],['Illusion'],Rare,TPR,4,4,None,Flying\nDiscard a card: Return Ephemeron to its owner's hand.
