Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Pattern of Rebirth,4.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,UDS,None,None,None,"Enchant creature\nWhen enchanted creature dies, that creature's controller may search their library for a creature card, put that card onto the battlefield, then shuffle."
Plated Spider,5.0,['G'],['G'],None,['Creature'],['Spider'],Common,UDS,4,4,None,Reach (This creature can block creatures with flying.)
Multani's Decree,4.0,['G'],['G'],None,['Sorcery'],None,Common,UDS,None,None,None,Destroy all enchantments. You gain 2 life for each enchantment destroyed this way.
Marker Beetles,3.0,['G'],['G'],None,['Creature'],['Insect'],Common,UDS,2,3,None,"When Marker Beetles dies, target creature gets +1/+1 until end of turn.\n{2}, Sacrifice Marker Beetles: Draw a card."
Magnify,1.0,['G'],['G'],None,['Instant'],None,Common,UDS,None,None,None,All creatures get +1/+1 until end of turn.
Ivy Seer,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Wizard']",Uncommon,UDS,1,1,None,"{2}{G}, {T}: Reveal any number of green cards in your hand. Target creature gets +X/+X until end of turn, where X is the number of cards revealed this way."
Hunting Moa,3.0,['G'],['G'],None,['Creature'],"['Bird', 'Beast']",Uncommon,UDS,3,2,None,"Echo {2}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Hunting Moa enters the battlefield or dies, put a +1/+1 counter on target creature."
Heart Warden,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,UDS,1,1,None,"{T}: Add {G}.\n{2}, Sacrifice Heart Warden: Draw a card."
Elvish Lookout,1.0,['G'],['G'],None,['Creature'],['Elf'],Common,UDS,1,1,None,Shroud (This creature can't be the target of spells or abilities.)
Goliath Beetle,3.0,['G'],['G'],None,['Creature'],['Insect'],Common,UDS,3,1,None,Trample
Ancient Silverback,6.0,['G'],['G'],None,['Creature'],['Ape'],Rare,UDS,6,5,None,"{G}: Regenerate Ancient Silverback. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Gamekeeper,4.0,['G'],['G'],None,['Creature'],['Elf'],Uncommon,UDS,2,2,None,"When Gamekeeper dies, you may exile it. If you do, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and put all other cards revealed this way into your graveyard."
Emperor Crocodile,4.0,['G'],['G'],None,['Creature'],['Crocodile'],Rare,UDS,5,5,None,"When you control no other creatures, sacrifice Emperor Crocodile."
Elvish Piper,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Rare,UDS,1,1,None,"{G}, {T}: You may put a creature card from your hand onto the battlefield."
Wild Colos,3.0,['R'],['R'],None,['Creature'],"['Goat', 'Beast']",Common,UDS,2,2,None,Haste
Wake of Destruction,6.0,['R'],['R'],None,['Sorcery'],None,Rare,UDS,None,None,None,Destroy target land and all other lands with the same name as that land.
Trumpet Blast,3.0,['R'],['R'],None,['Instant'],None,Common,UDS,None,None,None,Attacking creatures get +2/+0 until end of turn.
Sowing Salt,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,UDS,None,None,None,"Exile target nonbasic land. Search its controller's graveyard, hand, and library for all cards with the same name as that land and exile them. Then that player shuffles."
Scent of Cinder,2.0,['R'],['R'],None,['Sorcery'],None,Common,UDS,None,None,None,"Reveal any number of red cards in your hand. Scent of Cinder deals X damage to any target, where X is the number of cards revealed this way."
Repercussion,3.0,['R'],['R'],None,['Enchantment'],None,Rare,UDS,None,None,None,"Whenever a creature is dealt damage, Repercussion deals that much damage to that creature's controller."
Reckless Abandon,1.0,['R'],['R'],None,['Sorcery'],None,Common,UDS,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nReckless Abandon deals 4 damage to any target."
Mark of Fury,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,UDS,None,None,None,"Enchant creature\nEnchanted creature has haste.\nAt the beginning of the end step, return Mark of Fury to its owner's hand."
Landslide,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,UDS,None,None,None,Sacrifice any number of Mountains. Landslide deals that much damage to target player or planeswalker.
Keldon Vandals,3.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Common,UDS,4,1,None,"Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Keldon Vandals enters the battlefield, destroy target artifact."
Keldon Champion,4.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,UDS,3,2,None,"Haste\nEcho {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Keldon Champion enters the battlefield, it deals 3 damage to target player or planeswalker."
Incendiary,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,UDS,None,None,None,"Enchant creature\nAt the beginning of your upkeep, you may put a fuse counter on Incendiary.\nWhen enchanted creature dies, Incendiary deals X damage to any target, where X is the number of fuse counters on Incendiary."
Impatience,3.0,['R'],['R'],None,['Enchantment'],None,Rare,UDS,None,None,None,"At the beginning of each player's end step, if that player didn't cast a spell this turn, Impatience deals 2 damage to that player."
Hulking Ogre,3.0,['R'],['R'],None,['Creature'],['Ogre'],Common,UDS,3,3,None,Hulking Ogre can't block.
Goblin Masons,2.0,['R'],['R'],None,['Creature'],['Goblin'],Common,UDS,2,1,None,"When Goblin Masons dies, destroy target Wall."
Goblin Marshal,6.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,UDS,3,3,None,"Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Goblin Marshal enters the battlefield or dies, create two 1/1 red Goblin creature tokens."
Goblin Gardener,4.0,['R'],['R'],None,['Creature'],['Goblin'],Common,UDS,2,1,None,"When Goblin Gardener dies, destroy target land."
Goblin Festival,2.0,['R'],['R'],None,['Enchantment'],None,Rare,UDS,None,None,None,"{2}: Goblin Festival deals 1 damage to any target. Flip a coin. If you lose the flip, choose one of your opponents. That player gains control of Goblin Festival."
Goblin Berserker,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Uncommon,UDS,2,2,None,"First strike, haste"
Flame Jet,2.0,['R'],['R'],None,['Sorcery'],None,Common,UDS,None,None,None,"Flame Jet deals 3 damage to target player or planeswalker.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Covetous Dragon,5.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,UDS,6,5,None,"Flying\nWhen you control no artifacts, sacrifice Covetous Dragon."
Colos Yearling,3.0,['R'],['R'],None,['Creature'],"['Goat', 'Beast']",Common,UDS,1,1,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)\n{R}: Colos Yearling gets +1/+0 until end of turn.
Cinder Seer,4.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Uncommon,UDS,1,1,None,"{2}{R}, {T}: Reveal any number of red cards in your hand. Cinder Seer deals X damage to any target, where X is the number of cards revealed this way."
Bloodshot Cyclops,6.0,['R'],['R'],None,['Creature'],"['Cyclops', 'Giant']",Rare,UDS,4,4,None,"{T}, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to any target."
