Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Defender of Chaos,3.0,['R'],['R'],None,['Creature'],"['Human', 'Knight']",Common,ULG,2,1,None,Flash\nProtection from white
Phyrexian Denouncer,2.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Carrier']",Common,ULG,1,1,None,"{T}, Sacrifice Phyrexian Denouncer: Target creature gets -1/-1 until end of turn."
Treacherous Link,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,ULG,None,None,None,Enchant creature\nAll damage that would be dealt to enchanted creature is dealt to its controller instead.
About Face,1.0,['R'],['R'],None,['Instant'],None,Common,ULG,None,None,None,Switch target creature's power and toughness until end of turn.
Avalanche Riders,4.0,['R'],['R'],None,['Creature'],"['Human', 'Nomad']",Uncommon,ULG,2,2,None,"Haste\nEcho {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Avalanche Riders enters the battlefield, destroy target land."
Unearth,1.0,['B'],['B'],None,['Sorcery'],None,Common,ULG,None,None,None,"Return target creature card with mana value 3 or less from your graveyard to the battlefield.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Tethered Skirge,3.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Imp']",Uncommon,ULG,2,2,None,"Flying\nWhenever Tethered Skirge becomes the target of a spell or ability, you lose 1 life."
Swat,3.0,['B'],['B'],None,['Instant'],None,Common,ULG,None,None,None,"Destroy target creature with power 2 or less.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Subversion,5.0,['B'],['B'],None,['Enchantment'],None,Rare,ULG,None,None,None,"At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way."
Sleeper's Guile,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,ULG,None,None,None,"Enchant creature\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)\nWhen Sleeper's Guile is put into a graveyard from the battlefield, return Sleeper's Guile to its owner's hand."
Sick and Tired,3.0,['B'],['B'],None,['Instant'],None,Common,ULG,None,None,None,Two target creatures each get -1/-1 until end of turn.
Phyrexian Plaguelord,5.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Carrier']",Rare,ULG,4,4,None,"{T}, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.\nSacrifice a creature: Target creature gets -1/-1 until end of turn."
Rank and File,4.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,ULG,3,3,None,"When Rank and File enters the battlefield, green creatures get -1/-1 until end of turn."
Phyrexian Defiler,4.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Carrier']",Uncommon,ULG,3,3,None,"{T}, Sacrifice Phyrexian Defiler: Target creature gets -3/-3 until end of turn."
Plague Beetle,1.0,['B'],['B'],None,['Creature'],['Insect'],Common,ULG,1,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Phyrexian Reclamation,1.0,['B'],['B'],None,['Enchantment'],None,Uncommon,ULG,None,None,None,"{1}{B}, Pay 2 life: Return target creature card from your graveyard to your hand."
Phyrexian Debaser,4.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Carrier']",Common,ULG,2,2,None,"Flying\n{T}, Sacrifice Phyrexian Debaser: Target creature gets -2/-2 until end of turn."
Radiant's Judgment,3.0,['W'],['W'],None,['Instant'],None,Common,ULG,None,None,None,"Destroy target creature with power 4 or greater.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Radiant's Dragoons,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,ULG,2,5,None,"Echo {3}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Radiant's Dragoons enters the battlefield, you gain 5 life."
"Radiant, Archangel",5.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Rare,ULG,3,3,None,"Flying, vigilance\nRadiant, Archangel gets +1/+1 for each other creature with flying on the battlefield."
Planar Collapse,2.0,['W'],['W'],None,['Enchantment'],None,Rare,ULG,None,None,None,"At the beginning of your upkeep, if there are four or more creatures on the battlefield, sacrifice Planar Collapse and destroy all creatures. They can't be regenerated."
Blessed Reversal,2.0,['W'],['W'],None,['Instant'],None,Rare,ULG,None,None,None,You gain 3 life for each creature attacking you.
Martyr's Cause,3.0,['W'],['W'],None,['Enchantment'],None,Uncommon,ULG,None,None,None,"Sacrifice a creature: The next time a source of your choice would deal damage to any target this turn, prevent that damage."
Opal Avenger,3.0,['W'],['W'],None,['Enchantment'],None,Rare,ULG,None,None,None,"When you have 10 or less life, if Opal Avenger is an enchantment, Opal Avenger becomes a 3/5 Soldier creature."
Opal Champion,3.0,['W'],['W'],None,['Enchantment'],None,Common,ULG,None,None,None,"When an opponent casts a creature spell, if Opal Champion is an enchantment, Opal Champion becomes a 3/3 Knight creature with first strike."
