Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mad Prophet,4.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,UMA,2,2,None,"Haste\n{T}, Discard a card: Draw a card."
Lava Spike,1.0,['R'],['R'],None,['Sorcery'],['Arcane'],Uncommon,UMA,None,None,None,Lava Spike deals 3 damage to target player or planeswalker.
Ingot Chewer,5.0,['R'],['R'],None,['Creature'],['Elemental'],Common,UMA,3,3,None,"When Ingot Chewer enters the battlefield, destroy target artifact.\nEvoke {R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Hissing Iguanar,3.0,['R'],['R'],None,['Creature'],['Lizard'],Common,UMA,3,1,None,"Whenever another creature dies, you may have Hissing Iguanar deal 1 damage to target player or planeswalker."
Generator Servant,2.0,['R'],['R'],None,['Creature'],['Elemental'],Common,UMA,2,1,None,"{T}, Sacrifice Generator Servant: Add {C}{C}. If that mana is spent on a creature spell, it gains haste until end of turn. (That creature can attack and {T} as soon as it comes under your control.)"
Gamble,1.0,['R'],['R'],None,['Sorcery'],None,Rare,UMA,None,None,None,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle."
Furnace Celebration,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,UMA,None,None,None,"Whenever you sacrifice another permanent, you may pay {2}. If you do, Furnace Celebration deals 2 damage to any target."
Firewing Phoenix,4.0,['R'],['R'],None,['Creature'],['Phoenix'],Uncommon,UMA,4,2,None,Flying\n{1}{R}{R}{R}: Return Firewing Phoenix from your graveyard to your hand.
Fiery Temper,3.0,['R'],['R'],None,['Instant'],None,Common,UMA,None,None,None,"Fiery Temper deals 3 damage to any target.\nMadness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
"Urborg, Tomb of Yawgmoth",0.0,None,None,['Legendary'],['Land'],None,Rare,UMA,None,None,None,Each land is a Swamp in addition to its other land types.
