Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Fortune Teller,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,Visit — Scry 1.
Foam Weapons Kiosk,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,Visit — Put a +1/+1 counter on target creature you control. That creature gains vigilance until end of turn.
Ferris Wheel,0.0,None,None,None,['Artifact'],['Attraction'],Rare,UNF,None,None,None,Visit — Choose target creature that hasn't been phased out with Ferris Wheel. That creature phases out until you roll a 3 or less while rolling to visit your Attractions.
Drop Tower,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,"Visit — Target creature gains flying until end of turn, or until any player rolls a 1, whichever comes first."
Dart Throw,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,"Visit — Throw a card you own from outside the game onto the playing area from a distance of three feet (about one meter). If that card touches Dart Throw, claim the prize!\nPrize — Create two 2/2 pink Teddy Bear creature tokens. Sacrifice Dart Throw, then open an Attraction."
Cover the Spot,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,"Visit — Drop three cards you own from outside the game one at a time onto the playing area from a height of at least one foot (about 0.3 meters). If those cards completely cover Cover the Spot, claim the prize!\nPrize — You get {TK}{TK}{TK}{TK}, then you may put a sticker on a nonland permanent you own. Sacrifice Cover the Spot, then open an Attraction."
Costume Shop,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,Visit — You may put a sticker on a nonland permanent you own.
Concession Stand,0.0,None,None,None,['Artifact'],['Attraction'],Uncommon,UNF,None,None,None,"Visit — Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Clown Extruder,0.0,None,None,None,['Artifact'],['Attraction'],Common,UNF,None,None,None,Visit — Create a 1/1 white Clown Robot artifact creature token.
Balloon Stand,0.0,None,None,None,['Artifact'],['Attraction'],Uncommon,UNF,None,None,None,"Visit — Choose one.\n• Create a 1/1 red Balloon creature token with flying.\n• Sacrifice a Balloon. If you do, target creature gains flying until end of turn."
Centrifuge,0.0,None,None,None,['Artifact'],['Attraction'],Rare,UNF,None,None,None,Visit — Each player draws a card from the library of the player to their right. You create three Treasure tokens.
Bumper Cars,0.0,None,None,None,['Artifact'],['Attraction'],Uncommon,UNF,None,None,None,Visit — Target creature must be blocked this turn if able.
Urza's Fun House,0.0,None,None,None,['Land'],"[""Urza's""]",Rare,UNF,None,None,None,"{T}: Add {C}.\n{T}: Add {∞}. Activate only once and only if you control an Urza's Mine, an Urza's Power-Plant, and an Urza's Tower.\n{7}, {T}: Head to AskUrza.com and click Urza's Fun House."
Bounce Chamber,0.0,None,None,None,['Artifact'],['Attraction'],Uncommon,UNF,None,None,None,"Visit — Return a creature you don't control with the lowest toughness among creatures you don't control to its owner's hand. (If multiple creatures are tied, choose any one of them.)"
Nearby Planet,0.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Land'],None,Common,UNF,None,None,None,"Rangeling (This card is every land type, including Plains, Island, Swamp, Mountain, Forest, Desert, Gate, Lair, Locus, and all those Urza's ones.)\nNearby Planet enters the battlefield tapped.\nWhen Nearby Planet enters the battlefield, sacrifice it unless you pay {1}."
The Big Top,0.0,None,None,None,['Land'],None,Uncommon,UNF,None,None,None,{T}: Add one mana of any color that appears on your top. (A top is an outerwear garment worn on the upper body.)
Wicker Picker,3.0,None,None,None,"['Artifact', 'Creature']","['Scarecrow', 'Guest']",Uncommon,UNF,2,3,None,"Creature spells you cast have sticker kicker {1}. (You may pay an additional {1} as you cast a creature spell. If you do, you get {TK}, then you may put a sticker on it.)"
Ticketomaton,3.0,None,None,None,"['Artifact', 'Creature']",['Robot'],Common,UNF,2,2,None,"When Ticketomaton enters the battlefield, you get {TK}, then you may put a sticker on a nonland permanent you own."
Ticket Turbotubes,3.0,None,None,None,['Artifact'],None,Common,UNF,None,None,None,"{T}: Add one mana of any color.\n{3}, {T}: You get {TK} (a ticket counter)."
Strength-Testing Hammer,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,UNF,None,None,None,"Whenever equipped creature attacks, roll a six-sided die. That creature gets +X/+0 until end of turn, where X is the result. Then if it has the greatest power or is tied for greatest power among creatures on the battlefield, draw a card.\nEquip {3}"
