Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Lackey Recycler,0.0,None,None,None,['Artifact'],['Contraption'],Common,UST,None,None,None,"Whenever you crank Lackey Recycler, put target creature card from your graveyard on top of your library."
Jamming Device,0.0,None,None,None,['Artifact'],['Contraption'],Uncommon,UST,None,None,None,"Whenever you crank Jamming Device, creatures target player controls get -1/-1 until end of turn."
Cramped Bunker,6.0,"['G', 'R']","['G', 'R']",None,['Enchantment'],None,Rare,UST,None,None,None,"At the beginning of each opponent's upkeep, that player moves a permanent they control to touch Cramped Bunker and no other permanents. If the player can't, destroy each permanent they control that isn't touching Cramped Bunker, then sacrifice it."
Insufferable Syphon,0.0,None,None,None,['Artifact'],['Contraption'],Uncommon,UST,None,None,None,"Whenever you crank Insufferable Syphon, target player discards a card."
Inflation Station,0.0,None,None,None,['Artifact'],['Contraption'],Common,UST,None,None,None,"Whenever you crank Inflation Station, target creature gets +3/+3 until end of turn."
Hypnotic Swirly Disc,0.0,None,None,None,['Artifact'],['Contraption'],Rare,UST,None,None,None,"Whenever you crank Hypnotic Swirly Disc, target player mills X cards, where X is the number of creatures you control."
Head Banger,0.0,None,None,None,['Artifact'],['Contraption'],Common,UST,None,None,None,"Whenever you crank Head Banger, target creature must be blocked this turn if able."
Better Than One,2.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Rare,UST,None,None,None,"A person outside the game becomes your teammate. (Choose any number of cards in your hand, on top of your library, or on the battlefield under your control. Those cards become your teammate's hand, library, and permanents, respectively.)"
Hard Hat Area,0.0,None,None,None,['Artifact'],['Contraption'],Mythic,UST,None,None,None,"Whenever you crank Hard Hat Area, roll two six-sided dice. Hard Hat Area assembles a number of Contraptions equal to the difference between those results. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)"
Baron Von Count,3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Villain']",Mythic,UST,3,3,None,"Baron Von Count enters the battlefield with a doom counter on ""5.""\nWhenever you cast a spell with the indicated numeral in its mana cost, text box, power, or toughness, move the doom counter one numeral to the left.\nWhen the doom counter moves from ""1,"" destroy target player and put that doom counter on ""5."""
Guest List,0.0,None,None,None,['Artifact'],['Contraption'],Rare,UST,None,None,None,"Whenever you crank Guest List, target creature gets -X/-X until end of turn, where X is the number of creature cards in its controller's graveyard."
Goblin Slingshot,0.0,None,None,None,['Artifact'],['Contraption'],Rare,UST,None,None,None,"Whenever you crank Goblin Slingshot, creatures you control get +2/+0 and gain trample until end of turn."
Willing Test Subject,3.0,['G'],['G'],None,['Creature'],"['Spider', 'Monkey', 'Scientist']",Common,UST,2,2,None,"Reach\nWhenever you roll a 4 or higher on a die, put a +1/+1 counter on Willing Test Subject.\n{6}: Roll a six-sided die."
Wild Crocodile,2.0,['G'],['G'],['Host'],['Creature'],['Crocodile'],Common,UST,1,1,None,"When this creature enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Steamflogger Service Rep,3.0,['G'],['G'],None,['Creature'],"['Goblin', 'Rigger']",Uncommon,UST,1,1,None,"Whenever another Goblin enters the battlefield under your control, you may pay {1}. If you do, Steamflogger Service Rep assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,UST,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,UST,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,UST,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,UST,None,None,None,({T}: Add {U}.)
Squirrel Dealer,1.0,['G'],['G'],None,['Creature'],"['Raccoon', 'Lizard', 'Bird']",Common,UST,1,1,None,"When Squirrel Dealer enters the battlefield, ask a person outside the game ""Do you like Squirrels?"" If they do, create a 1/1 green Squirrel creature token."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,UST,None,None,None,({T}: Add {W}.)
Widget Contraption,0.0,None,None,None,['Artifact'],['Contraption'],Uncommon,UST,None,None,None,"Whenever you crank Widget Contraption, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)"
Twiddlestick Charger,0.0,None,None,None,['Artifact'],['Contraption'],Common,UST,None,None,None,"Whenever you crank Twiddlestick Charger, tap or untap target creature."
Slaying Mantis,7.0,['G'],['G'],None,['Creature'],"['Insect', 'Wrestler']",Uncommon,UST,6,6,None,"Just a second (As long as this spell is on the stack, players can't move cards on the battlefield.)\nSlaying Mantis enters the battlefield by being thrown from a distance of at least three feet.\nWhen Slaying Mantis enters the battlefield, it fights each creature an opponent controls that it touched as it entered."
