Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Black Vise,1.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"As Black Vise enters the battlefield, choose an opponent.\nAt the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in their hand minus 4."
Sword of Body and Mind,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,V10,None,None,None,"Equipped creature gets +2/+2 and has protection from green and from blue.\nWhenever equipped creature deals combat damage to a player, you create a 2/2 green Wolf creature token and that player mills ten cards.\nEquip {2}"
Aether Vial,1.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield."
Mox Diamond,0.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add one mana of any color."
"Karn, Silver Golem",5.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Golem'],Mythic,V10,4,4,None,"Whenever Karn, Silver Golem blocks or becomes blocked, it gets -4/+4 until end of turn.\n{1}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn."
Mirari,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,V10,None,None,None,"Whenever you cast an instant or sorcery spell, you may pay {3}. If you do, copy that spell. You may choose new targets for the copy."
Memory Jar,5.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"{T}, Sacrifice Memory Jar: Each player exiles all cards from their hand face down and draws seven cards. At the beginning of the next end step, each player discards their hand and returns to their hand each card they exiled this way."
Zuran Orb,0.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,Sacrifice a land: You gain 2 life.
Sundering Titan,8.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Mythic,V10,7,10,None,"When Sundering Titan enters or leaves the battlefield, choose a land of each basic land type, then destroy those lands."
Jester's Cap,4.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"{2}, {T}, Sacrifice Jester's Cap: Search target player's library for three cards and exile them. Then that player shuffles."
Sol Ring,1.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,{T}: Add {C}{C}.
Isochron Scepter,2.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"Imprint — When Isochron Scepter enters the battlefield, you may exile an instant card with mana value 2 or less from your hand.\n{2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost."
Nevinyrral's Disk,4.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"Nevinyrral's Disk enters the battlefield tapped.\n{1}, {T}: Destroy all artifacts, creatures, and enchantments."
Ivory Tower,1.0,None,None,None,['Artifact'],None,Mythic,V10,None,None,None,"At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4."
Masticore,4.0,None,None,None,"['Artifact', 'Creature']",['Masticore'],Mythic,V10,4,4,None,"At the beginning of your upkeep, sacrifice Masticore unless you discard a card.\n{2}: Masticore deals 1 damage to target creature.\n{2}: Regenerate Masticore."
