Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Mythic,V13,None,None,None,Exile target creature. Its controller gains life equal to its power.
Fact or Fiction,4.0,['U'],['U'],None,['Instant'],None,Mythic,V13,None,None,None,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
Tangle Wire,3.0,None,None,None,['Artifact'],None,Mythic,V13,None,None,None,"Fading 4 (This artifact enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nAt the beginning of each player's upkeep, that player taps an untapped artifact, creature, or land they control for each fade counter on Tangle Wire."
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Mythic,V13,None,None,None,Add {B}{B}{B}.
Fyndhorn Elves,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Mythic,V13,1,1,None,{T}: Add {G}.
Chameleon Colossus,4.0,['G'],['G'],None,['Creature'],['Shapeshifter'],Mythic,V13,4,4,None,"Changeling (This card is every creature type.)\nProtection from black\n{2}{G}{G}: Chameleon Colossus gets +X/+X until end of turn, where X is its power."
"Venser, Shaper Savant",4.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,V13,2,2,None,"Flash\nWhen Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand."
Chainer's Edict,2.0,['B'],['B'],None,['Sorcery'],None,Mythic,V13,None,None,None,Target player sacrifices a creature.\nFlashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Thran Dynamo,4.0,None,None,None,['Artifact'],None,Mythic,V13,None,None,None,{T}: Add {C}{C}{C}.
Wall of Blossoms,2.0,['G'],['G'],None,['Creature'],"['Plant', 'Wall']",Mythic,V13,0,4,None,"Defender\nWhen Wall of Blossoms enters the battlefield, draw a card."
Impulse,2.0,['U'],['U'],None,['Instant'],None,Mythic,V13,None,None,None,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
Green Sun's Zenith,1.0,['G'],['G'],None,['Sorcery'],None,Mythic,V13,None,None,None,"Search your library for a green creature card with mana value X or less, put it onto the battlefield, then shuffle. Shuffle Green Sun's Zenith into its owner's library."
Cruel Ultimatum,7.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Sorcery'],None,Mythic,V13,None,None,None,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life."
"Jace, the Mind Sculptor",4.0,['U'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,V13,None,None,3,"[+2]: Look at the top card of target player's library. You may put that card on the bottom of that player's library.\n[0]: Draw three cards, then put two cards from your hand on top of your library in any order.\n[−1]: Return target creature to its owner's hand.\n[−12]: Exile all cards from target player's library, then that player shuffles their hand into their library."
Kessig Wolf Run,0.0,None,"['G', 'R']",None,['Land'],None,Mythic,V13,None,None,None,"{T}: Add {C}.\n{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn."
"Ink-Eyes, Servant of Oni",6.0,['B'],['B'],['Legendary'],['Creature'],"['Rat', 'Ninja']",Mythic,V13,5,4,None,"Ninjutsu {3}{B}{B} ({3}{B}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Ink-Eyes, Servant of Oni deals combat damage to a player, you may put target creature card from that player's graveyard onto the battlefield under your control.\n{1}{B}: Regenerate Ink-Eyes."
Akroma's Vengeance,6.0,['W'],['W'],None,['Sorcery'],None,Mythic,V13,None,None,None,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Hymn to Tourach,2.0,['B'],['B'],None,['Sorcery'],None,Mythic,V13,None,None,None,Target player discards two cards at random.
Gilded Lotus,5.0,None,None,None,['Artifact'],None,Mythic,V13,None,None,None,{T}: Add three mana of any one color.
Char,3.0,['R'],['R'],None,['Instant'],None,Mythic,V13,None,None,None,Char deals 4 damage to any target and 2 damage to you.
