Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Platinum Angel,7.0,None,None,None,"['Artifact', 'Creature']",['Angel'],Mythic,V15,4,4,None,Flying\nYou can't lose the game and your opponents can't win the game.
Baneslayer Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Mythic,V15,5,5,None,"Flying, first strike, lifelink, protection from Demons and from Dragons"
"Avacyn, Angel of Hope",8.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,8,8,None,"Flying, vigilance, indestructible\nOther permanents you control have indestructible."
Lightning Angel,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",None,['Creature'],['Angel'],Mythic,V15,3,4,None,"Flying, vigilance, haste"
"Akroma, Angel of Wrath",8.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,6,6,None,"Flying, first strike, vigilance, trample, haste, protection from black and from red"
Serra Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Mythic,V15,4,4,None,"Flying, vigilance"
"Tariel, Reckoner of Souls",7.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,4,7,None,"Flying, vigilance\n{T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control."
"Jenara, Asura of War",3.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,3,3,None,"Flying\n{1}{W}: Put a +1/+1 counter on Jenara, Asura of War."
Iridescent Angel,7.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Angel'],Mythic,V15,4,4,None,"Flying, protection from all colors"
"Iona, Shield of Emeria",9.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,7,7,None,"Flying\nAs Iona, Shield of Emeria enters the battlefield, choose a color.\nYour opponents can't cast spells of the chosen color."
"Aurelia, the Warleader",6.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,3,4,None,"Flying, vigilance, haste\nWhenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase."
Exalted Angel,6.0,['W'],['W'],None,['Creature'],['Angel'],Mythic,V15,4,5,None,"Flying\nWhenever Exalted Angel deals damage, you gain that much life.\nMorph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Archangel of Strife,7.0,['W'],['W'],None,['Creature'],['Angel'],Mythic,V15,6,6,None,"Flying\nAs Archangel of Strife enters the battlefield, each player chooses war or peace.\nCreatures controlled by players who chose war get +3/+0.\nCreatures controlled by players who chose peace get +0/+3."
Entreat the Angels,3.0,['W'],['W'],None,['Sorcery'],None,Mythic,V15,None,None,None,Create X 4/4 white Angel creature tokens with flying.\nMiracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)
"Akroma, Angel of Fury",8.0,['R'],['R'],['Legendary'],['Creature'],['Angel'],Mythic,V15,6,6,None,"This spell can't be countered.\nFlying, trample, protection from white and from blue\n{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.\nMorph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
