Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Marble Diamond,2.0,None,['W'],None,['Artifact'],None,Common,VOC,None,None,None,Marble Diamond enters the battlefield tapped.\n{T}: Add {W}.
Fire Diamond,2.0,None,['R'],None,['Artifact'],None,Common,VOC,None,None,None,Fire Diamond enters the battlefield tapped.\n{T}: Add {R}.
Commander's Sphere,3.0,None,None,None,['Artifact'],None,Common,VOC,None,None,None,{T}: Add one mana of any color in your commander's color identity.\nSacrifice Commander's Sphere: Draw a card.
Charcoal Diamond,2.0,None,['B'],None,['Artifact'],None,Common,VOC,None,None,None,Charcoal Diamond enters the battlefield tapped.\n{T}: Add {B}.
Azorius Signet,2.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,VOC,None,None,None,"{1}, {T}: Add {W}{U}."
Azorius Locket,3.0,None,"['U', 'W']",None,['Artifact'],None,Common,VOC,None,None,None,"{T}: Add {W} or {U}.\n{W/U}{W/U}{W/U}{W/U}, {T}, Sacrifice Azorius Locket: Draw two cards."
Arcane Signet,2.0,None,None,None,['Artifact'],None,Common,VOC,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Vampiric Dragon,8.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Vampire', 'Dragon']",Rare,VOC,5,5,None,"Flying\nWhenever a creature dealt damage by Vampiric Dragon this turn dies, put a +1/+1 counter on Vampiric Dragon.\n{1}{R}: Vampiric Dragon deals 1 damage to target creature."
Stromkirk Captain,3.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Vampire', 'Soldier']",Uncommon,VOC,2,2,None,First strike\nOther Vampire creatures you control get +1/+1 and have first strike.
Rakdos Charm,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,VOC,None,None,None,Choose one —\n• Exile target player's graveyard.\n• Destroy target artifact.\n• Each creature deals 1 damage to its controller.
Geist of Saint Traft,3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Spirit', 'Cleric']",Mythic,VOC,2,2,None,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nWhenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat."
Drogskol Captain,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Spirit', 'Soldier']",Uncommon,VOC,2,2,None,Flying\nOther Spirit creatures you control get +1/+1 and have hexproof. (They can't be the targets of spells or abilities your opponents control.)
"Dovin, Grand Arbiter",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Dovin'],Mythic,VOC,None,None,3,"[+1]: Until end of turn, whenever a creature you control deals combat damage to a player, put a loyalty counter on Dovin, Grand Arbiter.\n[−1]: Create a 1/1 colorless Thopter artifact creature token with flying. You gain 1 life.\n[−7]: Look at the top ten cards of your library. Put three of them into your hand and the rest on the bottom of your library in a random order."
Vandalblast,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,VOC,None,None,None,"Destroy target artifact you don't control.\nOverload {4}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Stromkirk Occultist,3.0,['R'],['R'],None,['Creature'],"['Vampire', 'Horror']",Rare,VOC,3,2,None,"Trample\nWhenever Stromkirk Occultist deals combat damage to a player, exile the top card of your library. Until end of turn, you may play that card.\nMadness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Stensia Masquerade,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,VOC,None,None,None,"Attacking creatures you control have first strike.\nWhenever a Vampire you control deals combat damage to a player, put a +1/+1 counter on it.\nMadness {2}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Rakish Heir,3.0,['R'],['R'],None,['Creature'],['Vampire'],Uncommon,VOC,2,2,None,"Whenever a Vampire you control deals combat damage to a player, put a +1/+1 counter on it."
Molten Echoes,4.0,['R'],['R'],None,['Enchantment'],None,Rare,VOC,None,None,None,"As Molten Echoes enters the battlefield, choose a creature type.\nWhenever a nontoken creature of the chosen type enters the battlefield under your control, create a token that's a copy of that creature. That token gains haste. Exile it at the beginning of the next end step."
Mob Rule,6.0,['R'],['R'],None,['Sorcery'],None,Rare,VOC,None,None,None,Choose one —\n• Gain control of all creatures with power 4 or greater until end of turn. Untap those creatures. They gain haste until end of turn.\n• Gain control of all creatures with power 3 or less until end of turn. Untap those creatures. They gain haste until end of turn.
Falkenrath Gorger,1.0,['R'],['R'],None,['Creature'],"['Vampire', 'Berserker']",Rare,VOC,2,1,None,"Each Vampire creature card you own that isn't on the battlefield has madness. The madness cost is equal to its mana cost. (If you discard a card with madness, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Crimson Honor Guard,5.0,['R'],['R'],None,['Creature'],"['Vampire', 'Knight']",Rare,VOC,4,5,None,"Trample\nAt the beginning of each player's end step, Crimson Honor Guard deals 4 damage to that player unless they control a commander."
Bloodsworn Steward,4.0,['R'],['R'],None,['Creature'],"['Vampire', 'Knight']",Rare,VOC,4,4,None,Flying\nCommander creatures you control get +2/+2 and have haste.
Blasphemous Act,9.0,['R'],['R'],None,['Sorcery'],None,Rare,VOC,None,None,None,This spell costs {1} less to cast for each creature on the battlefield.\nBlasphemous Act deals 13 damage to each creature.
Avacyn's Judgment,2.0,['R'],['R'],None,['Sorcery'],None,Rare,VOC,None,None,None,"Madness {X}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)\nAvacyn's Judgment deals 2 damage divided as you choose among any number of targets. If this spell's madness cost was paid, it deals X damage divided as you choose among those permanents and/or players instead."
Anje's Ravager,3.0,['R'],['R'],None,['Creature'],"['Vampire', 'Berserker']",Rare,VOC,3,3,None,"Anje's Ravager attacks each combat if able.\nWhenever Anje's Ravager attacks, discard your hand, then draw three cards.\nMadness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Vampire Nighthawk,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Uncommon,VOC,2,3,None,"Flying, deathtouch, lifelink"
Urge to Feed,2.0,['B'],['B'],None,['Instant'],None,Uncommon,VOC,None,None,None,"Target creature gets -3/-3 until end of turn. You may tap any number of untapped Vampire creatures you control. If you do, put a +1/+1 counter on each of those Vampires."
Underworld Connections,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Rare,VOC,None,None,None,"Enchant land\nEnchanted land has ""{T}, Pay 1 life: Draw a card."""
Stromkirk Condemned,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Horror']",Rare,VOC,2,2,None,Discard a card: Vampires you control get +1/+1 until end of turn. Activate only once each turn.
Sanctum Seeker,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Knight']",Rare,VOC,3,4,None,"Whenever a Vampire you control attacks, each opponent loses 1 life and you gain 1 life."
Patron of the Vein,6.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Rare,VOC,4,4,None,"Flying\nWhen Patron of the Vein enters the battlefield, destroy target creature an opponent controls.\nWhenever a creature an opponent controls dies, exile it and put a +1/+1 counter on each Vampire you control."
Nirkana Revenant,6.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shade']",Mythic,VOC,4,4,None,"Whenever you tap a Swamp for mana, add an additional {B}.\n{B}: Nirkana Revenant gets +1/+1 until end of turn."
Night's Whisper,2.0,['B'],['B'],None,['Sorcery'],None,Common,VOC,None,None,None,You draw two cards and you lose 2 life.
Necropolis Regent,6.0,['B'],['B'],None,['Creature'],['Vampire'],Mythic,VOC,6,5,None,"Flying\nWhenever a creature you control deals combat damage to a player, put that many +1/+1 counters on it."
Malakir Bloodwitch,5.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Rare,VOC,4,4,None,"Flying, protection from white\nWhen Malakir Bloodwitch enters the battlefield, each opponent loses life equal to the number of Vampires you control. You gain life equal to the life lost this way."
Indulgent Aristocrat,1.0,['B'],['B'],None,['Creature'],"['Vampire', 'Noble']",Uncommon,VOC,1,1,None,"Lifelink\n{2}, Sacrifice a creature: Put a +1/+1 counter on each Vampire you control."
Feed the Swarm,2.0,['B'],['B'],None,['Sorcery'],None,Common,VOC,None,None,None,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.
Falkenrath Noble,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Noble']",Uncommon,VOC,2,2,None,"Flying\nWhenever Falkenrath Noble or another creature dies, target player loses 1 life and you gain 1 life."
Dark Impostor,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Assassin']",Rare,VOC,2,2,None,{4}{B}{B}: Exile target creature and put a +1/+1 counter on Dark Impostor.\nDark Impostor has all activated abilities of all creature cards exiled with it.
