Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Prismite,2.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,WAR,2,1,None,{2}: Add one mana of any color.
Bond of Flourishing,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,WAR,None,None,None,Look at the top three cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in any order. You gain 3 life.
Bloom Hulk,4.0,['G'],['G'],None,['Creature'],"['Plant', 'Elemental']",Common,WAR,4,4,None,"When Bloom Hulk enters the battlefield, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Vraska's Finisher,3.0,['B'],['B'],None,['Creature'],"['Gorgon', 'Assassin']",Common,WAR,3,2,None,"When Vraska's Finisher enters the battlefield, destroy target creature or planeswalker an opponent controls that was dealt damage this turn."
Band Together,3.0,['G'],['G'],None,['Instant'],None,Common,WAR,None,None,None,Up to two target creatures you control each deal damage equal to their power to another target creature.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,WAR,None,None,None,({T}: Add {W}.)
Awakening of Vitu-Ghazi,5.0,['G'],['G'],None,['Instant'],None,Rare,WAR,None,None,None,Put nine +1/+1 counters on target land you control. It becomes a legendary 0/0 Elemental creature with haste named Vitu-Ghazi. It's still a land.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WAR,None,None,None,({T}: Add {U}.)
Arlinn's Wolf,3.0,['G'],['G'],None,['Creature'],['Wolf'],Common,WAR,3,2,None,Arlinn's Wolf can't be blocked by creatures with power 2 or less.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WAR,None,None,None,({T}: Add {U}.)
"Arlinn, Voice of the Pack",6.0,['G'],['G'],['Legendary'],['Planeswalker'],['Arlinn'],Uncommon,WAR,None,None,7,Each creature you control that's a Wolf or a Werewolf enters the battlefield with an additional +1/+1 counter on it.\n[−2]: Create a 2/2 green Wolf creature token.
