Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,WC02,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Fire // Ice,4.0,['R'],"['R', 'U']",None,['Instant'],None,Uncommon,WC02,None,None,None,Fire deals 2 damage divided as you choose among one or two targets.
Phantom Centaur,4.0,['G'],['G'],None,['Creature'],"['Centaur', 'Spirit']",Uncommon,WC02,2,0,None,"Protection from black\nPhantom Centaur enters the battlefield with three +1/+1 counters on it.\nIf damage would be dealt to Phantom Centaur, prevent that damage. Remove a +1/+1 counter from Phantom Centaur."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Coffin Purge,1.0,['B'],['B'],None,['Instant'],None,Common,WC02,None,None,None,Exile target card from a graveyard.\nFlashback {B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Underground River,0.0,None,"['B', 'U']",None,['Land'],None,Rare,WC02,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Underground River deals 1 damage to you.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,WC02,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,WC02,None,None,None,({T}: Add {R}.)
Living Wish,2.0,['G'],['G'],None,['Sorcery'],None,Rare,WC02,None,None,None,You may reveal a creature or land card you own from outside the game and put it into your hand. Exile Living Wish.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,WC02,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,WC02,None,None,None,({T}: Add {B}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,WC02,None,None,None,({T}: Add {W}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,WC02,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Genesis,5.0,['G'],['G'],None,['Creature'],['Incarnation'],Rare,WC02,4,4,None,"At the beginning of your upkeep, if Genesis is in your graveyard, you may pay {2}{G}. If you do, return target creature card from your graveyard to your hand."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Upheaval,6.0,['U'],['U'],None,['Sorcery'],None,Rare,WC02,None,None,None,Return all permanents to their owners' hands.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
