Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Throne of Eldraine,5.0,None,None,['Legendary'],['Artifact'],None,Rare,WOC,None,None,None,"As Throne of Eldraine enters the battlefield, choose a color.\n{T}: Add four mana of the chosen color. Spend this mana only to cast monocolored spells of that color.\n{3}, {T}: Draw two cards. Spend only mana of the chosen color to activate this ability."
"Brenard, Ginger Sculptor",4.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,WOC,3,3,None,"Each creature you control that's a Food or a Golem gets +2/+2 and has trample.\nWhenever another nontoken creature you control dies, you may exile it. If you do, create a token that's a copy of that creature, except it's a 1/1 Food Golem artifact creature in addition to its other types and it has ""{2}, {T}, Sacrifice this artifact: You gain 3 life."""
"Korvold, Gleeful Glutton",8.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Dragon', 'Noble']",Mythic,WOC,4,4,None,"This spell costs {1} less to cast for each card type among permanents you've sacrificed this turn.\nFlying, trample, haste\nWhenever Korvold deals combat damage to a player, put X +1/+1 counters on Korvold and draw X cards, where X is the number of permanent types among cards in your graveyard."
Court of Garenbrig,3.0,['G'],['G'],None,['Enchantment'],None,Rare,WOC,None,None,None,"When Court of Garenbrig enters the battlefield, you become the monarch.\nAt the beginning of your upkeep, distribute two +1/+1 counters among up to two target creatures. Then if you're the monarch, double the number of +1/+1 counters on each creature you control."
Court of Embereth,4.0,['R'],['R'],None,['Enchantment'],None,Rare,WOC,None,None,None,"When Court of Embereth enters the battlefield, you become the monarch.\nAt the beginning of your upkeep, create a 3/1 red Knight creature token. Then if you're the monarch, Court of Embereth deals X damage to each opponent, where X is the number of creatures you control."
Court of Locthwain,4.0,['B'],['B'],None,['Enchantment'],None,Rare,WOC,None,None,None,"When Court of Locthwain enters the battlefield, you become the monarch.\nAt the beginning of your upkeep, exile the top card of target opponent's library. You may play that card for as long as it remains exiled, and mana of any type can be spent to cast it. If you're the monarch, until end of turn, you may cast a spell from among cards exiled with Court of Locthwain without paying its mana cost."
Court of Vantress,4.0,['U'],['U'],None,['Enchantment'],None,Rare,WOC,None,None,None,"When Court of Vantress enters the battlefield, you become the monarch.\nAt the beginning of your upkeep, choose up to one other target enchantment or artifact. If you're the monarch, you may create a token that's a copy of it. If you're not the monarch, you may have Court of Vantress become a copy of it, except it has this ability."
Court of Ardenvale,4.0,['W'],['W'],None,['Enchantment'],None,Rare,WOC,None,None,None,"When Court of Ardenvale enters the battlefield, you become the monarch.\nAt the beginning of your upkeep, return target permanent card with mana value 3 or less from your graveyard to your hand. If you're the monarch, return that permanent card to the battlefield instead."
Archmage of Echoes,5.0,['U'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,WOC,4,4,None,"Flying, ward {2}\nWhenever you cast a Faerie or Wizard permanent spell, copy it. (The copy becomes a token.)"
Giant Inheritance,5.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,WOC,None,None,None,"Enchant creature\nEnchanted creature gets +5/+5 and has ""Whenever this creature attacks, create a Monster Role token attached to up to one target attacking creature."" (Enchanted creature gets +1/+1 and has trample.)\nWhen Giant Inheritance is put into a graveyard from the battlefield, return it to its owner's hand."
Loamcrafter Faun,3.0,['G'],['G'],None,['Creature'],"['Satyr', 'Druid']",Rare,WOC,3,3,None,"When Loamcrafter Faun enters the battlefield, you may discard one or more land cards. When you do, return up to that many target nonland permanent cards from your graveyard to your hand."
Timber Paladin,2.0,['G'],['G'],None,"['Artifact', 'Creature']",['Knight'],Rare,WOC,1,1,None,"As long as Timber Paladin is enchanted by exactly one Aura, it has base power and toughness 3/3.\nAs long as Timber Paladin is enchanted by exactly two Auras, it has base power and toughness 5/5 and vigilance.\nAs long as Timber Paladin is enchanted by three or more Auras, it has base power and toughness 10/10, vigilance, and trample."
"Vitu-Ghazi, the City-Tree",0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,WOC,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Create a 1/1 green Saproling creature token."
Knickknack Ouphe,1.0,['G'],['G'],None,['Creature'],['Ouphe'],Rare,WOC,1,1,None,"Knickknack Ouphe enters the battlefield with X +1/+1 counters on it.\nWhen Knickknack Ouphe enters the battlefield, reveal the top X cards of your library. You may put any number of Aura cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield on the bottom of your library in a random order."
Ox Drover,4.0,['W'],['W'],None,['Creature'],"['Human', 'Peasant']",Rare,WOC,4,4,None,"Vigilance\nOx Drover can't be blocked by Oxen.\nWhenever Ox Drover enters the battlefield or attacks, target opponent creates a 2/4 white Ox creature token and you draw a card."
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,WOC,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Tegwyll's Scouring,6.0,['B'],['B'],None,['Sorcery'],None,Rare,WOC,None,None,None,You may cast Tegwyll's Scouring as though it had flash by tapping three untapped creatures you control with flying in addition to paying its other costs.\nDestroy all creatures. Create three 1/1 black Faerie Rogue creature tokens with flying.
Temple of Plenty,0.0,None,"['G', 'W']",None,['Land'],None,Rare,WOC,None,None,None,"Temple of Plenty enters the battlefield tapped.\nWhen Temple of Plenty enters the battlefield, scry 1.\n{T}: Add {G} or {W}."
Blightwing Bandit,4.0,['B'],['B'],None,['Creature'],"['Faerie', 'Rogue']",Rare,WOC,2,2,None,"Flying, deathtouch\nWhenever you cast your first spell during each opponent's turn, look at the top card of that player's library, then exile it face down. You may play that card for as long as it remains exiled, and mana of any type can be spent to cast it."
Ellivere of the Wild Court,4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Knight']",Mythic,WOC,4,4,None,"Whenever Ellivere of the Wild Court enters the battlefield or attacks, create a Virtuous Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 for each enchantment you control.)\nWhenever an enchanted creature you control deals combat damage to a player, draw a card."
Temple of Deceit,0.0,None,"['B', 'U']",None,['Land'],None,Rare,WOC,None,None,None,"Temple of Deceit enters the battlefield tapped.\nWhen Temple of Deceit enters the battlefield, scry 1.\n{T}: Add {U} or {B}."
Nettling Nuisance,3.0,['B'],['B'],None,['Creature'],"['Faerie', 'Rogue']",Rare,WOC,3,1,None,"Flying\nWhenever one or more Faeries you control deal combat damage to a player, that player creates a 4/2 red Pirate creature token with ""This creature can't block."" The token is goaded for the rest of the game. (It attacks each combat if able and attacks a player other than you if able.)"
Tainted Isle,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,WOC,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Activate only if you control a Swamp.
Malleable Impostor,4.0,['U'],['U'],None,['Creature'],"['Faerie', 'Shapeshifter']",Rare,WOC,0,0,None,"Flash\nFlying\nYou may have Malleable Impostor enter the battlefield as a copy of a creature an opponent controls, except it's a Faerie Shapeshifter in addition to its other types and it has flying."
Sunken Hollow,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,WOC,None,None,None,({T}: Add {U} or {B}.)\nSunken Hollow enters the battlefield tapped unless you control two or more basic lands.
Faerie Bladecrafter,3.0,['B'],['B'],None,['Creature'],"['Faerie', 'Rogue']",Rare,WOC,2,2,None,"Flying\nWhenever one or more Faeries you control deal combat damage to a player, put a +1/+1 counter on Faerie Bladecrafter.\nWhen Faerie Bladecrafter dies, each opponent loses X life and you gain X life, where X is its power."
Sungrass Prairie,0.0,None,"['G', 'W']",None,['Land'],None,Rare,WOC,None,None,None,"{1}, {T}: Add {G}{W}."
"Tegwyll, Duke of Splendor",3.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Faerie', 'Noble']",Mythic,WOC,2,3,None,"Flying, deathtouch\nOther Faeries you control get +1/+1.\nWhenever another Faerie you control dies, you draw a card and you lose 1 life."
Secluded Glen,0.0,None,"['B', 'U']",None,['Land'],None,Rare,WOC,None,None,None,"As Secluded Glen enters the battlefield, you may reveal a Faerie card from your hand. If you don't, Secluded Glen enters the battlefield tapped.\n{T}: Add {U} or {B}."
Path of Ancestry,0.0,None,None,None,['Land'],None,Common,WOC,None,None,None,"Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)"
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,WOC,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,WOC,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Hall of Heliod's Generosity,0.0,None,['W'],['Legendary'],['Land'],None,Rare,WOC,None,None,None,"{T}: Add {C}.\n{1}{W}, {T}: Put target enchantment card from your graveyard on top of your library."
Fortified Village,0.0,None,"['G', 'W']",None,['Land'],None,Rare,WOC,None,None,None,"As Fortified Village enters the battlefield, you may reveal a Forest or Plains card from your hand. If you don't, Fortified Village enters the battlefield tapped.\n{T}: Add {G} or {W}."
Faerie Conclave,0.0,None,['U'],None,['Land'],None,Uncommon,WOC,None,None,None,Faerie Conclave enters the battlefield tapped.\n{T}: Add {U}.\n{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.
Exotic Orchard,0.0,None,None,None,['Land'],None,Rare,WOC,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Dimir Aqueduct,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,WOC,None,None,None,"Dimir Aqueduct enters the battlefield tapped.\nWhen Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{B}."
Darkwater Catacombs,0.0,None,"['B', 'U']",None,['Land'],None,Rare,WOC,None,None,None,"{1}, {T}: Add {U}{B}."
Command Tower,0.0,None,None,None,['Land'],None,Common,WOC,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Choked Estuary,0.0,None,"['B', 'U']",None,['Land'],None,Rare,WOC,None,None,None,"As Choked Estuary enters the battlefield, you may reveal an Island or Swamp card from your hand. If you don't, Choked Estuary enters the battlefield tapped.\n{T}: Add {U} or {B}."
Castle Ardenvale,0.0,None,['W'],None,['Land'],None,Rare,WOC,None,None,None,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.\n{T}: Add {W}.\n{2}{W}{W}, {T}: Create a 1/1 white Human creature token."
Canopy Vista,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,WOC,None,None,None,({T}: Add {G} or {W}.)\nCanopy Vista enters the battlefield tapped unless you control two or more basic lands.
Bojuka Bog,0.0,None,['B'],None,['Land'],None,Common,WOC,None,None,None,"Bojuka Bog enters the battlefield tapped.\nWhen Bojuka Bog enters the battlefield, exile target player's graveyard.\n{T}: Add {B}."
