Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tempest Hart // Scan the Clouds,4.0,['G'],"['G', 'U']",None,['Creature'],"['Elemental', 'Elk']",Uncommon,WOE,3,4,None,"Trample\nWhenever you cast a spell with mana value 5 or greater, put a +1/+1 counter on Tempest Hart."
Besotted Knight // Betroth the Beast,4.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Common,WOE,3,3,None,None
Spellscorn Coven // Take It Back,4.0,['B'],"['B', 'U']",None,['Creature'],"['Faerie', 'Warlock']",Uncommon,WOE,2,3,None,"Flying\nWhen Spellscorn Coven enters the battlefield, each opponent discards a card."
A Tale for the Ages,2.0,['W'],['W'],None,['Enchantment'],None,Rare,WOE,None,None,None,Enchanted creatures you control get +2/+2.
Virtue of Loyalty // Ardenvale Fealty,5.0,['W'],['W'],None,['Enchantment'],None,Mythic,WOE,None,None,None,"At the beginning of your end step, put a +1/+1 counter on each creature you control. Untap those creatures."
Shrouded Shepherd // Cleave Shadows,2.0,['W'],"['B', 'W']",None,['Creature'],"['Spirit', 'Warrior']",Uncommon,WOE,2,2,None,"When Shrouded Shepherd enters the battlefield, target creature you control gets +2/+2 until end of turn."
Unassuming Sage,2.0,['W'],['W'],None,['Creature'],"['Human', 'Peasant', 'Wizard']",Common,WOE,2,2,None,"When Unassuming Sage enters the battlefield, you may pay {2}. If you do, create a Sorcerer Role token attached to it. (Enchanted creature gets +1/+1 and has ""Whenever this creature attacks, scry 1."")"
Hearth Elemental // Stoke Genius,6.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,WOE,4,5,None,"This spell costs {X} less to cast, where X is the number of cards in your graveyard that are instant cards, sorcery cards, and/or have an Adventure."
Stroke of Midnight,3.0,['W'],['W'],None,['Instant'],None,Uncommon,WOE,None,None,None,Destroy target nonland permanent. Its controller creates a 1/1 white Human creature token.
Scalding Viper // Steam Clean,2.0,['R'],"['R', 'U']",None,['Creature'],"['Elemental', 'Snake']",Rare,WOE,2,1,None,"Whenever an opponent casts a spell with mana value 3 or less, Scalding Viper deals 1 damage to that player."
Harried Spearguard,1.0,['R'],['R'],None,['Creature'],"['Human', 'Soldier']",Common,WOE,1,1,None,"Haste\nWhen Harried Spearguard dies, create a 1/1 black Rat creature token with ""This creature can't block."""
