Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Arms Scavenger,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Rare,YMID,2,2,None,"At the beginning of your upkeep, draft a card from Arms Scavenger's spellbook, then exile it. Until end of turn, you may play that card.\nEquip abilities you activate cost {1} less to activate."
Veteran Ghoulcaller,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Rare,YMID,2,2,None,"Menace\nWhenever a card in your graveyard is put into your hand, conjure a duplicate of that card into your hand."
Sap Vitality,2.0,['B'],['B'],None,['Instant'],None,Rare,YMID,None,None,None,Sap Vitality deals 3 damage to target creature or planeswalker. Choose a creature card in your hand. It perpetually gets +3/+0.
Sanguine Brushstroke,3.0,['B'],['B'],None,['Enchantment'],None,Rare,YMID,None,None,None,"When Sanguine Brushstroke enters the battlefield, create a Blood token and conjure a card named Blood Artist onto the battlefield.\nWhenever you sacrifice a Blood token, each opponent loses 1 life and you gain 1 life."
Puppet Raiser,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Wizard']",Mythic,YMID,3,4,None,"At the beginning of your end step, exile up to one target creature card from your graveyard. If you do, seek a creature card with mana value equal to the mana value of that card plus one. That card perpetually gains menace."
Predatory Sludge,3.0,['B'],['B'],None,['Creature'],['Ooze'],Rare,YMID,3,3,None,"Menace\nAs Predatory Sludge enters the battlefield, choose a permanent you don't control. When the chosen permanent is put into a graveyard from the battlefield, conjure a card named Predatory Sludge into your hand."
Patient Zero,2.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,YMID,2,2,None,Lifelink\nDamage isn't removed from creatures your opponents control during cleanup steps.
"Gutmorn, Pactbound Servant",3.0,['B'],['B'],['Legendary'],['Creature'],['Demon'],Mythic,YMID,1,3,None,"Flying, deathtouch\nWhen Gutmorn, Pactbound Servant enters the battlefield, each player discards a nonland card.\nWhenever a player discards a card during your turn, they choose another player. That player conjures a duplicate of that card into their hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
Citystalker Connoisseur,4.0,['B'],['B'],None,['Creature'],['Vampire'],Rare,YMID,3,3,None,"Deathtouch\nWhen Citystalker Connoisseur enters the battlefield, target opponent discards a nonland card with the greatest mana value among cards in their hand. Create a Blood token."
Break Expectations,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,YMID,None,None,None,"Target player reveals all cards with mana value 2 or greater in their hand. You choose a card from among those cards. Exile that card. If a card was exiled this way, that player drafts a card from Break Expectations's spellbook and reveals it."
Assemble from Parts,1.0,['B'],['B'],None,['Instant'],None,Rare,YMID,None,None,None,"Target creature card in your graveyard perpetually gains ""{1}{B}{B}, Exile this card from your graveyard: Shuffle it into your library. Create a token that's a copy of it, except it's a 4/4 black Zombie in addition to its other types. Activate only as a sorcery."""
Cursebound Witch,1.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Uncommon,YMID,1,2,None,"When Cursebound Witch dies, draft a card from Cursebound Witch's spellbook."
Tireless Angler,3.0,['U'],['U'],None,['Creature'],"['Human', 'Rogue']",Rare,YMID,2,4,None,"Whenever an Island or Swamp enters the battlefield under your control, draft a card from Tireless Angler's spellbook."
Sinister Reflections,2.0,['U'],['U'],None,['Instant'],None,Rare,YMID,None,None,None,Conjure a duplicate of each of up to two target nontoken creatures you control into your hand.
Rimewall Protector,3.0,['U'],['U'],None,['Creature'],"['Giant', 'Wizard']",Uncommon,YMID,3,4,None,"Ward {1}\nWhen Rimewall Protector enters the battlefield, each other Giant or Wizard you control and each Giant or Wizard card in your hand perpetually gains ward {1}."
"Oglor, Devoted Assistant",2.0,['U'],['U'],['Legendary'],['Creature'],['Homunculus'],Mythic,YMID,1,1,None,"At the beginning of your upkeep, look at the top two cards of your library, then put one of them into your graveyard.\nWhenever a creature card is put into your graveyard from your library or hand, it perpetually gains ""When this card leaves your graveyard, create a tapped 2/2 black Zombie creature token."""
Obsessive Collector,4.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,YMID,4,4,None,"Flying\nWard {2}\nWhenever Obsessive Collector deals combat damage to a player, seek a card with mana value equal to the number of cards in your hand."
Kindred Denial,4.0,['U'],['U'],None,['Instant'],None,Uncommon,YMID,None,None,None,Counter target spell. Seek a card with the same mana value as that spell.
Angel of Unity,2.0,['W'],['W'],None,['Creature'],"['Angel', 'Cleric']",Uncommon,YMID,1,3,None,"Flying, lifelink\nWhenever Angel of Unity enters the battlefield or you cast a party spell, choose a party creature card in your hand. It perpetually gets +1/+1. (A party card or spell is a Cleric, Rogue, Warrior, or Wizard.)"
Clone Crafter,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,YMID,1,2,None,"When Clone Crafter enters the battlefield, conjure a duplicate of a random creature card from your opponent's library into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
Geist of Regret,5.0,['U'],['U'],None,['Creature'],['Spirit'],Mythic,YMID,5,5,None,"Flying\nWhen Geist of Regret enters the battlefield, put a random instant card from your library into your graveyard. Then put a random sorcery card from your library into your graveyard.\nWhenever you cast an instant or sorcery spell from your graveyard, copy that spell. You may choose new targets for the copy."
Geistchanneler,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,YMID,1,3,None,"When Geistchanneler enters the battlefield, choose an instant or sorcery card in your hand with mana value 3 or greater. It perpetually gains ""This spell costs {2} less to cast."""
Discover the Formula,6.0,['U'],['U'],None,['Instant'],None,Rare,YMID,None,None,None,"Seek three nonland cards, then nonland cards in your hand perpetually gain ""This spell costs {1} less to cast."""
Unexpected Conversion,3.0,['U'],['U'],None,['Sorcery'],None,Rare,YMID,None,None,None,"Draw two cards. Then you may exile an instant or sorcery card from your hand. If you do, search your hand and library for any number of cards with the same name, exile them, then shuffle. Seek an instant or sorcery card for each card exiled from your hand this way."
Absorb Energy,3.0,['U'],['U'],None,['Instant'],None,Rare,YMID,None,None,None,"Counter target spell. Cards in your hand that share a card type with that spell perpetually gain ""This spell costs {1} less to cast."""
Suntail Squadron,4.0,['W'],['W'],None,['Instant'],None,Rare,YMID,None,None,None,"Conjure a card named Suntail Hawk into your hand. If you have fewer than 7 cards in hand, repeat this process."
Slayer's Bounty,1.0,['W'],['W'],['Legendary'],['Artifact'],['Clue'],Rare,YMID,None,None,None,"When Slayer's Bounty enters the battlefield, look at the creature cards in target opponent's hand.\nWhenever you sacrifice Slayer's Bounty or another Clue, draft a card from Slayer's Bounty's spellbook.\n{2}, Sacrifice Slayer's Bounty: Draw a card."
Sigardian Evangel,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,YMID,3,1,None,"When Sigardian Evangel enters the battlefield, conjure a card named Sigardian Evangel into your hand. Discard that card at the beginning of the next end step.\nWhen Sigardian Evangel enters the battlefield, tap target permanent you don't control."
Inquisitor Captain,4.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,YMID,3,3,None,"Vigilance\nWhen Inquisitor Captain enters the battlefield, if you cast it and there are twenty or more creature cards with mana value 3 or less among cards in your graveyard, hand, and library, seek two creature cards with mana value 3 or less. Put one of them onto the battlefield and shuffle the other into your library."
Captain Eberhart,2.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,YMID,1,2,None,Double strike\nSpells cast from among cards you drew this turn cost {1} less to cast.\nSpells cast from among cards your opponents drew this turn cost {1} more to cast.
Faithful Disciple,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,YMID,2,2,None,"Vigilance\nWhen Faithful Disciple dies, draft a card from Faithful Disciple's spellbook."
Angel of Eternal Dawn,3.0,['W'],['W'],None,['Creature'],['Angel'],Rare,YMID,2,4,None,"Flying\nWhen Angel of Eternal Dawn enters the battlefield, it becomes day.\nIt can't become night.\nYour opponents can't cast spells with mana value greater than the number of turns they have begun."
Expedition Supplier,3.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,YMID,2,2,None,"Whenever one or more Humans and/or Warriors enter the battlefield under your control, conjure a card named Utility Knife onto the battlefield. This ability triggers only once each turn."
Ethereal Escort,3.0,['W'],['W'],None,['Creature'],['Spirit'],Mythic,YMID,3,3,None,"Lifelink\nWhenever Ethereal Escort enters the battlefield or attacks, choose a card in your hand. It perpetually gains lifelink."
Divine Purge,3.0,['W'],['W'],None,['Sorcery'],None,Rare,YMID,None,None,None,"Exile all artifacts and creatures with mana value 3 or less. They perpetually gain ""This spell costs {2} more to cast"" and ""This permanent enters the battlefield tapped."" For as long as each of them remain exiled, its owner may play it."
Conductive Current,3.0,['R'],['R'],None,['Sorcery'],None,Rare,YMID,None,None,None,"Conductive Current deals 3 damage to each creature. Choose an instant or sorcery card in your hand. It perpetually gains ""If this spell would deal noncombat damage to a permanent or player, it deals that much damage plus 2 instead."""
Bloodrage Alpha,4.0,['R'],['R'],None,['Creature'],['Wolf'],Rare,YMID,4,4,None,"When Bloodrage Alpha enters the battlefield, choose one —\n* Another target Wolf or Werewolf you control fights target creature you don't control.\n* You get a one-time boon with ""When you cast a Wolf or Werewolf spell, it gains 'When this creature enters the battlefield, it fights up to one target creature you don't control.'"""
Forsaken Crossroads,0.0,None,None,None,['Land'],None,Rare,YMID,None,None,None,"Forsaken Crossroads enters the battlefield tapped.\nAs Forsaken Crossroads enters the battlefield, choose a color.\nWhen Forsaken Crossroads enters the battlefield, scry 1. If you weren't the starting player, you may untap Forsaken Crossroads instead.\n{T}: Add one mana of the chosen color."
Ominous Traveler,2.0,None,None,None,['Creature'],['Human'],Rare,YMID,1,1,None,"When Ominous Traveler enters the battlefield, draft a card from Ominous Traveler's spellbook. That card perpetually gains ""You may spend mana as though it were mana of any color to cast this spell"" and ""When you cast this spell, return a creature named Ominous Traveler you control to its owner's hand."""
Wickerwing Effigy,3.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Rare,YMID,1,4,None,"Defender\nYou may look at the top card of your library any time.\nYou may cast creature spells from the top of your library.\nWhenever you cast a creature spell from your library, it becomes a black Bird in addition to its other colors and types, has flying, and has base power and toughness 1/1."
Soulstealer Axe,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,YMID,None,None,None,"Equipped creature has trample.\nWhenever equipped creature deals combat damage to a player, seek a card with mana value equal to that damage.\nEquip {2}"
Key to the Archive,4.0,None,None,None,['Artifact'],None,Rare,YMID,None,None,None,"Key to the Archive enters the battlefield tapped.\nWhen Key to the Archive enters the battlefield, draft a card from Key to the Archive's spellbook, then discard a card.\n{T}: Add two mana in any combination of colors."
"Gitrog, Horror of Zhava",4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Frog', 'Horror']",Rare,YMID,6,6,None,"Menace\nAt the beginning of each combat, if Gitrog, Horror of Zhava is untapped, any opponent may sacrifice a nontoken creature. If they do, tap Gitrog, Horror of Zhava, then seek a land card and put it onto the battlefield tapped.\nWhenever a land enters the battlefield under your control, it perpetually gains ""{B}{G}, {T}, Sacrifice this land: Draw a card."""
Begin Anew,4.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Rare,YMID,None,None,None,Destroy all creatures. Creature cards in your hand perpetually get +1/+1.
Tenacious Pup,1.0,['G'],['G'],None,['Creature'],['Wolf'],Uncommon,YMID,1,2,None,"When Tenacious Pup enters the battlefield, you gain 1 life. You get a one-time boon with ""When you cast a creature spell, that creature enters the battlefield with an additional +1/+1 counter, trample counter, and vigilance counter on it."""
Settle the Wilds,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,YMID,None,None,None,Seek a basic land card and put it onto the battlefield tapped. Then seek a permanent card with mana value equal to the number of lands you control.
"Rahilda, Wanted Cutthroat // Rahilda, Feral Outlaw",2.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Werewolf']",Mythic,YMID,2,2,None,"First strike\nWhen Rahilda, Wanted Cutthroat deals combat damage to a player, exile a nonland card from their library at random. During any turn you attacked with a Wolf or Werewolf, you may cast that card and you may spend mana as though it were mana of any color to cast that spell.\nDaybound"
"Tibalt, Wicked Tormentor",5.0,['R'],['R'],['Legendary'],['Planeswalker'],['Tibalt'],Mythic,YMID,None,None,3,"[+1]: Add {R}{R}. Draft a card from Tibalt, Wicked Tormentor's spellbook, then exile it. Until end of turn, you may cast that card.\n[+1]: Tibalt, Wicked Tormentor deals 4 damage to target creature or planeswalker unless its controller has Tibalt deal 4 damage to them. If they do, you may discard a card. If you do, draw a card.\n[−X]: Create X 1/1 red Devil creature tokens with ""When this creature dies, it deals 1 damage to any target."""
"Ishkanah, Broodmother",4.0,['G'],"['B', 'G']",['Legendary'],['Creature'],['Spider'],Mythic,YMID,3,5,None,"Reach\nOther Spiders you control get +1/+2.\n{1}{B/G}, Exile two cards from your graveyard: Draft a card from Ishkanah, Broodmother's spellbook."
Lupine Harbingers,4.0,['G'],['G'],None,['Creature'],['Wolf'],Rare,YMID,4,4,None,"Trample, haste\nLupine Harbingers enters the battlefield with X +1/+1 counters on it, where X is the number of turns you've begun since it was foretold.\nForetell {4}{G}{G}"
Hollowhenge Wrangler,5.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,YMID,6,6,None,"When Hollowhenge Wrangler enters the battlefield, seek a land card.\nDiscard a land card: Conjure a card named Hollowhenge Beast into your hand. You may also activate this ability while Hollowhenge Wrangler is in your graveyard."
Ravenous Pursuit,2.0,['G'],['G'],None,['Sorcery'],None,Rare,YMID,None,None,None,"Target creature you control deals damage equal to its power to target creature you don't control. Choose a creature card in your hand. It perpetually gets +X/+X, where X is the amount of excess damage dealt this way."
Hinterland Chef,3.0,['G'],['G'],None,['Creature'],"['Human', 'Scout']",Rare,YMID,3,4,None,"When Hinterland Chef enters the battlefield, draft a card from Hinterland Chef's spellbook. It perpetually becomes a Food artifact in addition to its other types and perpetually gains ""{2}, {T}, Sacrifice this creature: You gain 3 life."""
Grizzled Huntmaster,3.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Rare,YMID,4,3,None,"When Grizzled Huntmaster enters the battlefield, you may exile a creature card from your hand. If you do, search your hand and library for any number of cards with the same name, exile them, then shuffle. Choose a creature card you own from outside the game. Conjure a duplicate of that card into your hand for each card exiled from your hand this way."
Geistpack Alpha,4.0,['G'],['G'],None,['Creature'],['Wolf'],Rare,YMID,5,4,None,"Trample\nWhen Geistpack Alpha dies, seek a permanent card with mana value equal to the number of lands you control."
Electrostatic Blast,2.0,['R'],['R'],None,['Instant'],None,Rare,YMID,None,None,None,"Electrostatic Blast deals 2 damage to any target. You get a one-time boon with ""When you cast an instant or sorcery spell, exile the top three cards of your library. You may play one of those cards until end of turn."""
"Garruk, Wrath of the Wilds",4.0,['G'],['G'],['Legendary'],['Planeswalker'],['Garruk'],Mythic,YMID,None,None,4,"[+1]: Choose a creature card in your hand. It perpetually gets +1/+1 and perpetually gains ""This spell costs {1} less to cast.""\n[−1]: Draft a card from Garruk, Wrath of the Wilds's spellbook and put it onto the battlefield.\n[−6]: Until end of turn, creatures you control get +3/+3 and gain trample."
Antique Collector,2.0,['G'],['G'],None,['Creature'],"['Human', 'Rogue']",Rare,YMID,2,2,None,"Antique Collector can't be blocked by creatures with power 2 or less.\nWhen Antique Collector enters the battlefield, creatures you control perpetually gain ""When this creature dies, you may shuffle it into its owner's library if it's in your graveyard. If you do, investigate."""
Toralf's Disciple,3.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Rare,YMID,3,3,None,"Haste\nWhenever Toralf's Disciple attacks, conjure four cards named Lightning Bolt into your library, then shuffle."
Fearsome Whelp,2.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,YMID,1,1,None,"Flying\nAt the beginning of your end step, each Dragon card in your hand perpetually gains ""This spell costs {1} less to cast."""
Town-Razer Tyrant,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,YMID,4,4,None,"Flying\nWhen Town-Razer Tyrant enters the battlefield, target nonbasic land you don't control loses all abilities except mana abilities and gains ""At the beginning of your upkeep, this permanent deals 2 damage to you unless you sacrifice it."""
Brittle Blast,3.0,['R'],['R'],None,['Instant'],None,Uncommon,YMID,None,None,None,"Creatures and planeswalkers your opponents control perpetually gain ""If this permanent would die, exile it instead."" Brittle Blast deals 5 damage to target creature or planeswalker."
Frenzied Geistblaster,2.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,YMID,2,2,None,"Prowess\nWhen Frenzied Geistblaster enters the battlefield, if there are twenty or more instant and/or sorcery cards among cards in your graveyard, hand, and library, you may discard a card. If you do, seek an instant or sorcery card."
