Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Roalesk, Prime Specimen",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Human', 'Mutant']",Mythic,YMKM,4,5,None,"Flying\nWhenever Roalesk, Prime Specimen or another permanent you control is turned face up, you may pay {X}. If you do, if X is 1 or more, conjure a duplicate of a random creature card with mana value X into your hand. Cloak it. It gains ""{G/U}: Turn this creature face up"" for as long as it remains face down.\nDisguise {G}{U}"
Juggle the Performance,3.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Mythic,YMKM,None,None,None,"Each player discards their hand, then conjures a duplicate of each of seven random cards from the library of the player to their right into their hand. The duplicates perpetually gain ""Mana of any type can be spent to cast this spell."""
Izzet Polarizer,2.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Viashino', 'Wizard']",Rare,YMKM,2,1,None,"When Izzet Polarizer dies, conjure a card named Ionize or a card named Electrolyze into your hand. (Your choice is not revealed to other players.)"
"Furgul, Quag Nurturer",4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Elf', 'Shaman']",Rare,YMKM,2,4,None,"At the beginning of your end step, conjure a card named Slimy Dualleech onto the battlefield if you control no Leeches. Otherwise, put a +1/+1 counter on each Leech you control.\n{T}, Sacrifice a creature: Add an amount of {G} equal to the sacrificed creature's power."
"Emmara, Voice of the Conclave",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Cleric']",Rare,YMKM,2,3,None,"Convoke\nWhen Emmara, Voice of the Conclave enters the battlefield, draft a card from Emmara, Voice of the Conclave's spellbook."
Woodland Investigation,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,YMKM,None,None,None,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle. It perpetually becomes a Clue artifact in addition to its other types and gains ""{2}, Sacrifice this permanent: Draw a card."""
Sproutwatch Dryad,3.0,['G'],['G'],None,['Creature'],['Dryad'],Rare,YMKM,3,3,None,"At the beginning of each combat, Sproutwatch Dryad gains flying until end of turn if a creature you control or a card in your hand has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
Relics of the Rubblebelt,3.0,['G'],['G'],None,['Sorcery'],None,Rare,YMKM,None,None,None,"Draft a card from Relics of the Rubblebelt's spellbook twice, then put one of those cards onto the battlefield tapped."
Rampaging Ursaguana,6.0,['G'],['G'],None,['Creature'],"['Bear', 'Lizard', 'Mutant']",Rare,YMKM,4,4,None,"Trample, ward {2}, haste\nRampaging Ursaguana gets +2/+2 for each time this creature attacked this game.\nDisguise {2}{G}{G}"
Sleuth Instructor,2.0,['W'],['W'],None,['Creature'],"['Elephant', 'Detective']",Rare,YMKM,3,2,None,"Disguise {1}{W}\nWhenever Sleuth Instructor or another permanent you control is turned face up, seek a non-Elephant creature card with mana value 3 or less and cloak it. This ability triggers only once."
Concert Kaboomist,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Artificer']",Uncommon,YMKM,4,2,None,"Trample\nWhen Concert Kaboomist enters the battlefield or is turned face up, it deals X damage to target opponent, where X is the number of noncreature spells you've cast since the beginning of your last turn.\nDisguise {R}"
Shove Aside,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,YMKM,None,None,None,"If you aren't the starting player, you may cast Shove Aside as though it had flash.\nShove Aside deals 3 damage to target creature or planeswalker."
Guildpact Greenwalker,3.0,['G'],['G'],None,['Creature'],"['Plant', 'Rhino']",Rare,YMKM,4,4,None,"When Guildpact Greenwalker enters the battlefield, you may choose a creature card in your hand. If you do, that card perpetually incorporates {1}{G} and gets +4/+4.\nMulticolored creatures you control have ward {2}."
Construction Arsonist,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue', 'Wizard']",Rare,YMKM,2,2,None,"When Construction Arsonist enters the battlefield, you may choose an instant or sorcery card in your hand. If you do, that card perpetually incorporates {R} and gains ""When you cast this spell, it deals 2 damage to each opponent.""\nWhenever you cast a multicolored spell, Construction Arsonist gets +1/+1 until end of turn for each of that spell's colors."
Case of the Market Melee,2.0,['R'],['R'],None,['Enchantment'],['Case'],Uncommon,YMKM,None,None,None,"When this Case enters the battlefield, it deals 1 damage to any target.\nDamage isn't removed from creatures during cleanup steps.\nTo solve — Three or more creatures are damaged.\nSolved — Whenever you attack with one or more creatures, this Case deals that much damage divided as you choose among any number of targets."
