Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Imperial Blademaster,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Samurai']",Rare,YNEO,2,3,None,"Double strike\nWhenever a Samurai or Warrior you control attacks alone, draft a card from Imperial Blademaster's spellbook."
Forceful Cultivator,4.0,['G'],['G'],None,['Creature'],"['Snake', 'Shaman']",Mythic,YNEO,2,3,None,"This spell costs {2} less to cast if there are no land cards in your hand.\nWhen Forceful Cultivator enters the battlefield, search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Runaway Growth,4.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,YNEO,None,None,None,"Starting intensity 1\nEnchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional amount of {G} equal to Runaway Growth's intensity. Then Runaway Growth intensifies by 1."
Jukai Liberator,3.0,['G'],['G'],None,['Creature'],"['Snake', 'Ninja']",Rare,YNEO,3,3,None,"Ninjutsu {1}{G}\nWhenever Jukai Liberator deals combat damage to a player, choose land or nonland. Seek a permanent card of the chosen type."
Boseiju Pathlighter,3.0,['G'],['G'],None,['Creature'],"['Human', 'Rogue']",Rare,YNEO,3,2,None,"When Boseiju Pathlighter enters the battlefield, draft a card from Boseiju Pathlighter's spellbook."
Chronicler of Worship,2.0,['G'],['G'],None,['Creature'],"['Human', 'Monk']",Rare,YNEO,1,1,None,"When Chronicler of Worship enters the battlefield, put a random Shrine card from among the top seven cards of your library into your hand. It perpetually gains ""This spell costs {1} less to cast."" Then shuffle.\n{T}: Add one mana of any color."
Kami of Bamboo Groves,1.0,['G'],['G'],None,"['Enchantment', 'Creature']",['Spirit'],Uncommon,YNEO,1,1,None,"When Kami of Bamboo Groves enters the battlefield, you may put a land card from your hand onto the battlefield tapped.\nChannel — {2}{G}, Discard Kami of Bamboo Groves: Conjure two cards named Forest into your hand."
Forgeborn Phoenix,3.0,['R'],['R'],None,"['Artifact', 'Creature']","['Equipment', 'Phoenix']",Mythic,YNEO,2,2,None,"Flying\nEquipped creature has flying.\nWhenever Forgeborn Phoenix or equipped creature dies, it perpetually gains ""Whenever an equipped creature you control deals combat damage to a player or planeswalker, return this card from your graveyard to the battlefield tapped.""\nReconfigure {R}"
Molten Impact,2.0,['R'],['R'],None,['Sorcery'],None,Rare,YNEO,None,None,None,"Molten Impact deals 4 damage to target creature or planeswalker. If excess damage was dealt this way, note that excess damage, then you get a one-time boon with ""When you cast an instant or sorcery spell, this boon deals damage equal to the noted number to target creature or planeswalker an opponent controls."""
Bellowsbreath Ogre,3.0,['R'],['R'],None,"['Artifact', 'Creature']","['Ogre', 'Shaman']",Rare,YNEO,3,3,None,"Starting intensity 1\nWhenever Bellowsbreath Ogre attacks, it deals damage equal to its intensity to any target. Then Bellowsbreath Ogre intensifies by 1."
Junkyard Scrapper,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Artificer']",Rare,YNEO,3,3,None,"Whenever a nontoken artifact enters the battlefield under your control, exile a random nonland artifact card with lesser mana value from your library. You may cast that card until the end of your next turn."
Foundry Beetle,2.0,['R'],['R'],None,"['Artifact', 'Creature']","['Equipment', 'Insect']",Rare,YNEO,2,2,None,"First strike\nEquipped creature has first strike.\nAt the beginning of your upkeep, a random artifact card in your hand perpetually gains ""This spell costs {1} less to cast.""\nReconfigure {R}"
Artillery Enthusiast,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Artificer']",Uncommon,YNEO,1,2,None,"Modified creatures you control have menace.\nWhen Artillery Enthusiast enters the battlefield, you may discard a card. If you do, seek a card with mana value equal to that card's mana value."
Inchblade Companion,1.0,['W'],['W'],None,"['Artifact', 'Creature']","['Equipment', 'Insect']",Rare,YNEO,1,1,None,"Equipped creature gets +1/+1.\nWhenever Inchblade Companion becomes attached to a creature, create a token that's a copy of Inchblade Companion, except it doesn't have this ability. This ability triggers only once each turn.\nReconfigure {2}"
Kami of Mourning,3.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,YNEO,3,2,None,"Whenever Kami of Mourning enters the battlefield, target creature you control or creature card in your graveyard perpetually gains ""Whenever a creature you control with greater mana value than this card dies, return this card from your graveyard to the battlefield tapped."""
Soul Servitude,3.0,['B'],['B'],None,['Instant'],None,Rare,YNEO,None,None,None,"Target player sacrifices a nontoken creature. When they do, you may discard a card. If you do, conjure a duplicate of the sacrificed creature into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
Consuming Oni,4.0,['B'],['B'],None,['Creature'],"['Ogre', 'Demon']",Mythic,YNEO,6,6,None,"Flying, menace\nAt the beginning of your end step, a random nonland card in your hand perpetually gains ""When you cast this spell, you lose 3 life."""
Undercity Plunder,2.0,['B'],['B'],None,['Sorcery'],None,Rare,YNEO,None,None,None,"Target opponent discards a card. Then they may discard an additional card. If they don't, conjure a duplicate of a random card from their library into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
Swarm Saboteur,2.0,['B'],['B'],None,['Creature'],"['Human', 'Ninja']",Rare,YNEO,2,2,None,"Ninjutsu {B}\nDeathtouch\nWhenever Swarm Saboteur deals combat damage to a player, conjure a card named Virus Beetle into your hand."
Painful Bond,2.0,['B'],['B'],None,['Instant'],None,Uncommon,YNEO,None,None,None,"Draw two cards, then nonland cards in your hand with mana value 3 or less perpetually gain ""When you cast this spell, you lose 1 life."""
Saiba Syphoner,4.0,['U'],['U'],None,['Creature'],"['Human', 'Ninja']",Mythic,YNEO,2,2,None,"Flash\nThis spell costs {2} less to cast if there are no instant or sorcery cards in your hand.\nWhen Saiba Syphoner enters the battlefield, return target instant or sorcery card from your graveyard to your hand.\nIf Saiba Syphoner would die, shuffle it into your library instead."
Better Offer,1.0,['U'],['U'],None,['Sorcery'],None,Rare,YNEO,None,None,None,Put a random creature card with mana value X or less from target opponent's library onto the battlefield under your control. It perpetually has base power and toughness X/X and perpetually gains ward {1}.
Semblance Scanner,3.0,['U'],['U'],None,"['Artifact', 'Creature']","['Equipment', 'Shapeshifter']",Rare,YNEO,3,2,None,"Whenever Semblance Scanner or equipped creature deals combat damage to a player, if it's not a token, conjure a duplicate of it into your hand.\nReconfigure {1}"
Futurist Spellthief,3.0,['U'],['U'],None,['Creature'],"['Moonfolk', 'Wizard']",Rare,YNEO,3,2,None,"Flash\nWhen Futurist Spellthief enters the battlefield, conjure a duplicate of target spell into your hand. That card perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
Kami of Transmutation,2.0,['W'],['W'],None,['Creature'],['Spirit'],Rare,YNEO,2,2,None,"When Kami of Transmutation enters or leaves the battlefield, choose one —\n• Each permanent card in your hand perpetually becomes an artifact in addition to its other types.\n• Each permanent card in your hand perpetually becomes an enchantment in addition to its other types."
Holographic Double,1.0,['U'],['U'],None,['Creature'],['Illusion'],Rare,YNEO,1,1,None,"{U}, Exile Holographic Double from your hand: Choose a creature card in your hand. Conjure a duplicate of it into your hand."
Dragonfly Pilot,1.0,['W'],['W'],None,['Creature'],"['Fox', 'Pilot']",Uncommon,YNEO,1,1,None,"When Dragonfly Pilot enters the battlefield, conjure a card named Dragonfly Suit into your hand.\nDragonfly Pilot crews Vehicles as though its power were 2 greater."
Experimental Pilot,1.0,['U'],['U'],None,['Creature'],"['Human', 'Pilot']",Uncommon,YNEO,1,2,None,"Ward {2}\n{U}, Discard two cards: Draft a card from Experimental Pilot's spellbook.\nExperimental Pilot crews Vehicles as though its power were 2 greater."
Mothrider Cavalry,4.0,['W'],['W'],None,['Creature'],"['Human', 'Samurai']",Mythic,YNEO,2,2,None,This spell costs {2} less to cast if you have no creature cards in hand not named Mothrider Cavalry.\nFlying\nOther creatures you control get +1/+1.
Fragment Reality,1.0,['W'],['W'],None,['Instant'],None,Rare,YNEO,None,None,None,"Exile target nontoken artifact, creature, or enchantment an opponent controls. Its controller puts a random creature card with lesser mana value from their library onto the battlefield tapped."
