Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Quicksilver Lapidary,2.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Phyrexian', 'Artificer']",Uncommon,YONE,1,1,None,"When Quicksilver Lapidary enters the battlefield, conjure a card named Mox Opal into your hand."
Mephidross Slime,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Phyrexian', 'Ooze']",Uncommon,YONE,3,3,None,"Trample\nWhen Mephidross Slime dies, conjure a card named Mephidross Slime into your graveyard. Perpetually double the power and toughness of Mephidross Slime and that card, then shuffle them into their owner's library."
Innovative Metatect,2.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Phyrexian', 'Artificer']",Rare,YONE,1,3,None,"Whenever one or more artifact creatures you control deal combat damage to a player, seek a nonland card with mana value 2 or less."
Ichor Aberration,3.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Phyrexian', 'Horror']",Rare,YONE,3,3,None,"Flying, Defender\nAs long as Ichor Aberration's power is 7 or greater, it can attack as though it didn't have defender.\nWhenever you proliferate, if Ichor Aberration is in your graveyard or on the battlefield, Ichor Aberration perpetually gets +1/+1. You may cast it from your graveyard this turn."
"Gyox, Brutal Carnivora",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Phyrexian', 'Warlock']",Rare,YONE,2,4,None,"At the beginning of your end step, put an oil counter on up to one target creature.\nWhenever a nontoken creature you control with one or more oil counters on it dies, conjure X duplicates of it into exile, where X is the number of oil counters on it. Those duplicates perpetually get +X/+X. Then shuffle those duplicates into your library."
Glistening Extractor,4.0,"['B', 'U']","['B', 'U']",None,['Artifact'],None,Rare,YONE,None,None,None,"Glistening Extractor enters the battlefield with four oil counters on it.\nAt the beginning of your upkeep, if there are one or more oil counters on Glistening Extractor, seek a card with mana value equal to the number of oil counters on Glistening Extractor, then remove an oil counter from Glistening Extractor."
Darksteel Hydra,3.0,"['B', 'G', 'W']","['B', 'G', 'W']",None,"['Artifact', 'Creature']","['Phyrexian', 'Hydra']",Mythic,YONE,*,*,None,"Indestructible\nDarksteel Hydra enters the battlefield with X oil counters on it.\nDarksteel Hydra's power and toughness are each equal to twice the number of oil counters on it.\nWhen Darksteel Hydra enters the battlefield, conjure a card named Darksteel Ingot and a card named Darksteel Plate into your hand."
Contagion Dispenser,4.0,"['G', 'U']","['G', 'U']",None,['Artifact'],None,Rare,YONE,None,None,None,"When Contagion Dispenser enters the battlefield, proliferate.\nWhenever you proliferate during your turn, draft a card from Contagion Dispenser's spellbook. This ability triggers only once each turn."
Bladehold Cleaver,4.0,"['R', 'W']","['R', 'W']",None,['Artifact'],['Equipment'],Rare,YONE,None,None,None,"For Mirrodin!\nEquipped creature gets +2/+2.\nWhenever equipped creature dies, draft a card from Bladehold Cleaver's spellbook.\nEquip {3}"
Kemba's Outfitter,1.0,['W'],['W'],None,['Creature'],"['Cat', 'Artificer']",Uncommon,YONE,2,1,None,"When Kemba's Outfitter enters the battlefield, choose one —\n• Choose an Equipment card in your hand. It perpetually gains equip {1}.\n• Target Equipment you control perpetually gains equip {1}."
"Rothga, Bonded Engulfer",4.0,['G'],['G'],['Legendary'],['Creature'],"['Phyrexian', 'Beast']",Mythic,YONE,4,4,None,"Trample\nWhen Rothga, Bonded Engulfer enters the battlefield, you get a one-time boon with ""When you cast a creature spell, it perpetually gets +X/+X, where X is its power."""
Spawning Pod,3.0,['G'],['G'],None,['Artifact'],None,Rare,YONE,None,None,None,"{1}, {T}, Sacrifice a creature: Seek a creature card with mana value equal to 1 plus the sacrificed creature's mana value and put that card onto the battlefield. That creature is a Phyrexian in addition to its other types. Activate only as a sorcery."
"Arek, False Goldwarden",2.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,YONE,2,2,None,"Starting intensity 0\nWhenever another creature enters the battlefield under your control, cards you own named Arek, False Goldwarden intensify by 1.\n{3}{W}{B}, {T}, Sacrifice Arek, False Goldwarden: Target opponent loses X life and you gain X life, where X is Arek's intensity."
Phyresis Roach,1.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Insect']",Uncommon,YONE,1,1,None,"Toxic 1\nWhenever Phyresis Roach deals combat damage to a player, Insects you control and Insect cards in your graveyard, hand, and library perpetually gain toxic 1."
