Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Riveteers Provocateur,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Viashino', 'Warrior']",Rare,YSNC,3,1,None,"Menace\nWhen Riveteers Provocateur enters the battlefield, choose a creature card in your hand without blitz. It perpetually gains blitz. The blitz cost is equal to its mana cost.\nBlitz {B}{R}"
Racketeer Boss,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Cat', 'Warrior']",Rare,YSNC,3,2,None,"When Racketeer Boss enters the battlefield, choose up to two creature and/or planeswalker cards in your hand. They perpetually gain ""When you cast this spell, create a Treasure token and this spell perpetually loses this ability."""
Obscura Polymorphist,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Cephalid', 'Wizard']",Rare,YSNC,2,2,None,"When Obscura Polymorphist enters the battlefield, exile up to one target creature. Its controller seeks a creature card."
Effluence Devourer,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Creature'],['Crocodile'],Mythic,YSNC,4,3,None,"Blitz {B}{R}{G}\nWhenever you sacrifice Effluence Devourer or another creature, it perpetually gains ""{2}, Exile this card from your graveyard: Create an X/X green Ooze creature token, where X is this card's power. Activate only as a sorcery."""
Diviner of Fates,3.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,['Creature'],"['Cephalid', 'Wizard']",Mythic,YSNC,2,3,None,"When Diviner of Fates enters the battlefield, it connives.\nWhenever you discard one or more cards, seek a card that shares a card type with one of the discarded cards. This ability triggers only once each turn."
Cabaretti Revels,3.0,"['G', 'R']","['G', 'R']",None,['Enchantment'],None,Rare,YSNC,None,None,None,"Whenever you cast a creature spell, seek a creature card with lesser mana value, then put it onto the battlefield."
Spara's Bodyguard,3.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Creature'],"['Rhino', 'Warrior']",Mythic,YSNC,3,3,None,"When Spara's Bodyguard enters the battlefield, you may choose a creature card in your hand. If you do, it perpetually gains ""This creature enters the battlefield with an additional shield counter on it."" Otherwise, put a shield counter on Spara's Bodyguard.\nAt the beginning of each combat, Spara's Bodyguard gets +1/+1 until end of turn for each shield counter among other creatures you control."
Brokers' Safeguard,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Rare,YSNC,None,None,None,"Exile target nonartifact creature you control. It perpetually gains ""This creature enters the battlefield with an additional shield counter on it."" Then return that card to the battlefield under its owner's control."
Bind to Secrecy,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,YSNC,None,None,None,"Choose one —\n• Counter target noncreature spell.\n• Conjure a duplicate of target creature card in an opponent's graveyard into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell.""\nIf there are five or more mana values among cards in your graveyard, draft a card from Bind to Secrecy's spellbook."
Bank Job,3.0,"['B', 'R']","['B', 'R']",None,['Enchantment'],None,Rare,YSNC,None,None,None,"At the beginning of your upkeep, exile the bottom creature card of your library. You may cast that card this turn. At the beginning of the next end step, if that card is still exiled, put it into your graveyard and create a Treasure token."
Herald of Vengeance,5.0,['W'],['W'],None,['Creature'],['Angel'],Rare,YSNC,4,5,None,"Flying\nWhen Herald of Vengeance enters the battlefield, destroy each permanent you don't control that has the same name as a permanent that dealt damage to you last turn."
Loose in the Park,2.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,YSNC,None,None,None,"Enchant land\nWhen Loose in the Park enters the battlefield, draw a card, then draft a card from Loose in the Park's spellbook and exile it.\n{3}: Enchanted land becomes a copy of the exiled card until end of turn and gains haste. It's still a land."
Arming Gala,5.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,YSNC,None,None,None,"At the beginning of your end step, creatures you control and creature cards in your hand, library, and graveyard perpetually get +1/+1."
Back-Alley Gardener,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Creature'],"['Elf', 'Druid']",Mythic,YSNC,3,4,None,"Alliance — Whenever one or more other creatures enter the battlefield under your control, seek a land card, then put it onto the battlefield tapped. This ability triggers only once each turn."
Menagerie Curator,2.0,['G'],['G'],None,['Creature'],"['Human', 'Citizen']",Uncommon,YSNC,1,3,None,"{T}: Add one mana of any color. Spend this mana only to cast a creature spell.\nWhenever you cast a creature spell that doesn't share a creature type with a creature card in your library, draw a card."
Giant Regrowth,3.0,['G'],['G'],None,['Instant'],None,Uncommon,YSNC,None,None,None,"Return target card from your graveyard to your hand. If it's a creature card, it perpetually gets +3/+3."
Traumatic Prank,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,YSNC,None,None,None,"Gain control of target creature until end of turn. Untap that creature. It perpetually gains haste, ""This creature can't block,"" and ""At the beginning of your upkeep, this creature deals 1 damage to you."""
Pass the Torch,2.0,['R'],['R'],None,['Instant'],None,Rare,YSNC,None,None,None,"Pass the Torch deals 2 damage to any target. Choose a creature card in your hand. It perpetually gains ""Whenever this creature deals combat damage to a player, you may cast target card named Pass the Torch from your graveyard without paying its mana cost. If you do, this creature perpetually loses this ability""."
Big Spender,2.0,['R'],['R'],None,['Creature'],"['Devil', 'Citizen']",Uncommon,YSNC,2,1,None,"Haste\nWhenever one or more creatures you control become blocked, create a Treasure token.\nSacrifice two artifacts: Draft a card from Big Spender's spellbook."
Xander's Wake,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,YSNC,None,None,None,"Whenever one or more creatures you control die, draft a card from Xander's Wake's spellbook. This ability triggers only once each turn."
Shattering Finale,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,YSNC,None,None,None,Casualty 1\nTarget creature an opponent controls perpetually gets -0/-3.
Skyline Savior,3.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,YSNC,3,4,None,"Flying\nWhen Skyline Savior enters the battlefield, return a permanent you control to its owner's hand. If it's a non-Angel creature card, it perpetually gets +1/+1, gains flying, and becomes an Angel in addition to its other types."
Graven Archfiend,5.0,['B'],['B'],None,"['Artifact', 'Creature']","['Gargoyle', 'Demon']",Rare,YSNC,4,5,None,"As an additional cost to cast this spell, you may sacrifice a non-Demon creature.\nFlying\nWhen Graven Archfiend enters the battlefield, if its additional cost was paid, conjure a card named Demonic Pact onto the battlefield."
Celestial Vault,2.0,['W'],['W'],None,['Artifact'],None,Uncommon,YSNC,None,None,None,"{W}, {T}: Draft a card from Celestial Vault's spellbook and exile it face down.\n{1}, Sacrifice Celestial Vault: Put each card exiled with Celestial Vault into your hand."
Nightclub Bouncer,4.0,['U'],['U'],None,['Creature'],"['Human', 'Rogue']",Uncommon,YSNC,2,3,None,"Flash\nWhen Nightclub Bouncer enters the battlefield, return target nonland permanent an opponent controls to its owner's hand. It perpetually gains ""This spell costs {2} more to cast."""
Choice of Fortunes,3.0,['U'],['U'],None,['Sorcery'],None,Uncommon,YSNC,None,None,None,"Seek two cards. You may shuffle them into your library. If you do, seek two cards.\nYou have no maximum hand size for the rest of the game."
