Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Third Little Pig,2.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Boar'],Uncommon,YWOE,2,2,None,"Whenever you conjure one or more other cards, Third Little Pig perpetually gets +1/+1. This ability also triggers if Third Little Pig is in your graveyard."
Loch Larent,0.0,None,['U'],None,['Land'],None,Uncommon,YWOE,None,None,None,"Loch Larent enters the battlefield tapped.\n{T}: Add {U}.\n{1}{U}, {T}: Scry 3. Target opponent gets a one-time boon with ""When you cast a creature spell, that creature enters the battlefield tapped and with a stun counter on it."" Activate only during your turn and only once."
Captivating Crossroads,0.0,None,None,None,['Land'],None,Rare,YWOE,None,None,None,"During your first three turns of the game, Captivating Crossroads enters the battlefield tapped if you were the starting player.\nAs Captivating Crossroads enters the battlefield, choose a color.\n{T}: Add one mana of the chosen color."
Second Little Pig,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Boar'],Uncommon,YWOE,2,3,None,{2}{W/B}{W/B}: Second Little Pig perpetually becomes a Boar Spirit with base power and toughness 4/4 and gains flying. Activate only if Second Little Pig isn't a Spirit.
Porcine Portent // Lend a Ham,4.0,['W'],"['B', 'W']",None,['Enchantment'],None,Rare,YWOE,None,None,None,"When Porcine Portent enters the battlefield, conjure a card of your choice from the Three Pigs spellbook onto the battlefield.\nBoars you control get +1/+1."
Outfitted Jouster,4.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Human', 'Knight']",Rare,YWOE,2,2,None,"When Outfitted Jouster enters the battlefield, conjure a card named Steelclaw Lance and a card named Brawler's Plate onto the battlefield and attach them to Outfitted Jouster.\nIf damage would be dealt to Outfitted Jouster while it's equipped, prevent that damage. When damage is prevented this way, sacrifice an Equipment attached to Outfitted Jouster."
Jewel Mine Overseer,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Noble']",Mythic,YWOE,3,3,None,"When Jewel Mine Overseer enters the battlefield, conjure seven cards named Seven Dwarves on top of your library. They perpetually gain ""When this creature enters the battlefield, draw a card."" Then shuffle.\nAt the beginning of your upkeep, exile the top card of your library. You may play that card this turn."
High Fae Prankster,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Faerie', 'Rogue']",Rare,YWOE,1,4,None,"Flying, deathtouch\nWhen High Fae Prankster enters the battlefield, choose up to one —\n• Perpetually exchange target creature's base power with another target creature's base power.\n• High Fae Prankster perpetually has base power and toughness 4/1."
Grow Old Together,3.0,"['G', 'U']","['G', 'U']",None,['Instant'],None,Uncommon,YWOE,None,None,None,"Seek two creature cards from among the top ten cards of your library, then shuffle. Creature cards in your hand perpetually get +1/+1."
First Little Pig,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Boar'],Uncommon,YWOE,2,2,None,{1}{G/W}: Exile target artifact or enchantment. Activate only once.
Drover of the Swine,5.0,"['B', 'G', 'W']","['B', 'G', 'W']",None,['Creature'],"['Human', 'Warlock']",Mythic,YWOE,5,5,None,"When Drover of the Swine enters the battlefield, choose one —\n• Conjure a card of your choice from the Three Pigs spellbook onto the battlefield.\n• Return up to three target Boar creature cards with different names from your graveyard to the battlefield."
Dedicated Dollmaker,2.0,['W'],['W'],None,['Creature'],"['Dwarf', 'Artificer']",Rare,YWOE,2,2,None,"When Dedicated Dollmaker enters the battlefield, exile up to one other target nonland, nontoken permanent. Its controller creates a token that's a copy of it, except it's not legendary and it's an artifact in addition to its other types.\n{1}{W}: Tokens you control gain indestructible until end of turn. Activate only once."
"Hex, Kellan's Companion",2.0,['G'],['G'],['Legendary'],['Creature'],['Dog'],Rare,YWOE,1,1,None,"Haste\nWhenever you cast an Adventure spell, if Hex, Kellan's Companion is on the battlefield or in exile, it perpetually gets +1/+1. Then if it's on the battlefield, exile it with a fetch counter on it.\nWhenever you cast a spell from exile, if Hex is in exile with a fetch counter on it, put it onto the battlefield."
Accident-Prone Apprentice // Amphibian Accident,2.0,['R'],"['R', 'U']",None,['Creature'],"['Otter', 'Wizard']",Uncommon,YWOE,1,1,None,"Whenever you cast a noncreature spell, Accident-Prone Apprentice perpetually gets +1/+1. This ability also triggers if Accident-Prone Apprentice is in exile."
Swine Rebellion,3.0,['G'],['G'],None,['Sorcery'],None,Rare,YWOE,None,None,None,"If you control three or more Boars with different names, conjure each card from the Three Pigs spellbook onto the battlefield. If you control two or fewer Boars with different names, conjure two cards of your choice from the Three Pigs spellbook into your hand, then put one of them onto the battlefield."
A Golden Opportunity,3.0,['G'],['G'],None,['Enchantment'],['Saga'],Rare,YWOE,None,None,None,"(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Conjure a card named Gilded Goose onto the battlefield.\nII, III — You may tap an untapped Bird you control and sacrifice an artifact. If you do, conjure a card named Golden Egg onto the battlefield."
Victory of the Pyrohammer,5.0,['R'],['R'],None,['Enchantment'],['Saga'],Rare,YWOE,None,None,None,"(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Victory of the Pyrohammer deals 4 damage to each creature and each planeswalker. Victory of the Pyrohammer gains ""Damage isn't removed from creatures during cleanup steps.""\nII, III — Victory of the Pyrohammer deals 1 damage to each creature and each planeswalker."
Overcooked,3.0,['R'],['R'],None,['Enchantment'],None,Mythic,YWOE,None,None,None,"Players can't gain life.\nCelebration — At the beginning of your end step, create a Food token. If two or more nonland permanents entered the battlefield under your control this turn, instead conjure a card named Food Fight onto the battlefield."
Heir to Dragonfire,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warlock']",Rare,YWOE,2,2,None,"{R}: Heir to Dragonfire gets +1/+0 until end of turn.\n{2}{R}, Reveal Heir to Dragonfire from your hand: Heir to Dragonfire perpetually becomes a Dragon, gets +3/+3, and gains flying."
Draconic Debut,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,YWOE,None,None,None,Draconic Debut deals X damage to any target.\nThe next Dragon creature spell you cast costs {X} less to cast.
Underbridge Warlock,5.0,['B'],['B'],None,['Creature'],"['Ogre', 'Warlock']",Mythic,YWOE,5,4,None,"Deathtouch\nWhen Underbridge Warlock enters the battlefield, you get a one-time boon with ""At the beginning of your end step, if three or more creatures died this turn, each opponent loses 5 life and you gain 5 life.""\nAt the beginning of your end step, if you have a boon, you mill three cards, draw a card, and lose 2 life."
The Conundrum of Bowls,4.0,['U'],['U'],None,['Enchantment'],['Saga'],Rare,YWOE,None,None,None,(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)\nI — Seek a card with mana value less than the number of cards in your hand.\nII — Seek a card with mana value greater than the number of cards in your hand.\nIII — Count the number of cards in your hand. You may cast a spell with mana value equal to that number from your hand without paying its mana cost.
Dunbarrow Revivalist,2.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Uncommon,YWOE,3,1,None,"Bargain\nWhen Dunbarrow Revivalist enters the battlefield, you get a one-time boon with ""When one or more creatures enter the battlefield under your control, create a Wicked Role token attached to one of them."" Then if Dunbarrow Revivalist was bargained, return a creature card from your graveyard to your hand."
"Cerise, Slayer of Fear",5.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Cleric', 'Knight']",Rare,YWOE,5,5,None,"First strike, lifelink\nAt the beginning of your postcombat main phase, if you gained life this turn, seek a card with the highest mana value among cards in your library with mana value less than or equal to the amount of life you gained this turn."
Tome of Gadwick,1.0,['U'],['U'],None,['Artifact'],['Equipment'],Rare,YWOE,None,None,None,"Whenever equipped creature deals combat damage to a player, conjure a random card from Tome of Gadwick's spellbook into your hand.\nEquip {1}"
Talion's Throneguard,4.0,['U'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,YWOE,2,1,None,"Flash\nBargain\nFlying\nWhen Talion's Throneguard enters the battlefield, return up to one target spell or nonland permanent to its owner's hand. If Talion's Throneguard was bargained, that card perpetually gains ""This spell costs {2} more to cast."""
Stormkeld Curator // Giant Secrets,6.0,['W'],"['U', 'W']",None,['Creature'],['Giant'],Mythic,YWOE,6,6,None,"When Stormkeld Curator enters the battlefield, you may put any number of Aura cards from your graveyard and/or hand onto the battlefield attached to it."
Syr Joshua and Syr Saxon,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Knight']",Rare,YWOE,2,3,None,"Double team\nIf you control exactly two legendary permanents named Syr Joshua and Syr Saxon, the ""legend rule"" doesn't apply to them.\nEach other creature you control named Syr Joshua and Syr Saxon has battle cry."
Paths of Tuinvale,2.0,['U'],['U'],None,['Instant'],None,Uncommon,YWOE,None,None,None,"Choose one or both —\n• Return target creature you control to its owner's hand. That card perpetually gains ""This spell costs {1} less to cast.""\n• Return target creature you don't control to its owner's hand. That card perpetually gains ""This spell costs {1} more to cast."""
