Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Military Intelligence,2.0,['U'],['U'],None,['Enchantment'],None,Uncommon,ZNC,None,None,None,"Whenever you attack with two or more creatures, draw a card."
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,ZNC,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Submerged Boneyard,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,ZNC,None,None,None,Submerged Boneyard enters the battlefield tapped.\n{T}: Add {U} or {B}.
Selesnya Sanctuary,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,ZNC,None,None,None,"Selesnya Sanctuary enters the battlefield tapped.\nWhen Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{W}."
Selesnya Guildgate,0.0,None,"['G', 'W']",None,['Land'],['Gate'],Common,ZNC,None,None,None,Selesnya Guildgate enters the battlefield tapped.\n{T}: Add {G} or {W}.
Rogue's Passage,0.0,None,None,None,['Land'],None,Uncommon,ZNC,None,None,None,"{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn."
Needle Spires,0.0,None,"['R', 'W']",None,['Land'],None,Rare,ZNC,None,None,None,Needle Spires enters the battlefield tapped.\n{T}: Add {R} or {W}.\n{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.
Open into Wonder,2.0,['U'],['U'],None,['Sorcery'],None,Uncommon,ZNC,None,None,None,"X target creatures can't be blocked this turn. Until end of turn, those creatures gain ""Whenever this creature deals combat damage to a player, draw a card."""
Naya Panorama,0.0,None,None,None,['Land'],None,Common,ZNC,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Naya Panorama: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle."
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,ZNC,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,ZNC,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Jwar Isle Refuge,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,ZNC,None,None,None,"Jwar Isle Refuge enters the battlefield tapped.\nWhen Jwar Isle Refuge enters the battlefield, you gain 1 life.\n{T}: Add {U} or {B}."
Jungle Shrine,0.0,None,"['G', 'R', 'W']",None,['Land'],None,Uncommon,ZNC,None,None,None,"Jungle Shrine enters the battlefield tapped.\n{T}: Add {R}, {G}, or {W}."
Gruul Turf,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,ZNC,None,None,None,"Gruul Turf enters the battlefield tapped.\nWhen Gruul Turf enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {R}{G}."
Gruul Guildgate,0.0,None,"['G', 'R']",None,['Land'],['Gate'],Common,ZNC,None,None,None,Gruul Guildgate enters the battlefield tapped.\n{T}: Add {R} or {G}.
Evolving Wilds,0.0,None,None,None,['Land'],None,Common,ZNC,None,None,None,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
