Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
A-Kargan Warleader,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Warrior']",Uncommon,ZNR,3,3,None,Ward {1}\nOther Warriors you control get +1/+1 and have ward {1}.
Kargan Warleader,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Warrior']",Uncommon,ZNR,3,3,None,Other Warriors you control get +1/+1.
"Grakmaw, Skyclave Ravager",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Hydra', 'Horror']",Rare,ZNR,0,0,None,"Grakmaw, Skyclave Ravager enters the battlefield with three +1/+1 counters on it.\nWhenever another creature you control dies, if it had a +1/+1 counter on it, put a +1/+1 counter on Grakmaw.\nWhen Grakmaw dies, create an X/X black and green Hydra creature token, where X is the number of +1/+1 counters on Grakmaw."
Cleric of Life's Bond,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Vampire', 'Cleric']",Uncommon,ZNR,2,2,None,"Whenever another Cleric enters the battlefield under your control, you gain 1 life.\nWhenever you gain life for the first time each turn, put a +1/+1 counter on Cleric of Life's Bond."
Brushfire Elemental,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Elemental'],Uncommon,ZNR,1,1,None,"Haste\nBrushfire Elemental can't be blocked by creatures with power 2 or less.\nLandfall — Whenever a land enters the battlefield under your control, Brushfire Elemental gets +2/+2 until end of turn."
"Akiri, Fearless Voyager",3.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Kor', 'Warrior']",Rare,ZNR,3,3,None,"Whenever you attack a player with one or more equipped creatures, draw a card.\n{W}: You may unattach an Equipment from a creature you control. If you do, tap that creature and it gains indestructible until end of turn."
Vine Gecko,2.0,['G'],['G'],None,['Creature'],"['Elemental', 'Lizard']",Uncommon,ZNR,2,2,None,"The first kicked spell you cast each turn costs {1} less to cast.\nWhenever you cast a kicked spell, put a +1/+1 counter on Vine Gecko."
Veteran Adventurer,6.0,['G'],['G'],None,['Creature'],['Human'],Uncommon,ZNR,5,5,None,"Veteran Adventurer is also a Cleric, Rogue, Warrior, and Wizard.\nThis spell costs {1} less to cast for each creature in your party.\nVigilance"
Vastwood Surge,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ZNR,None,None,None,"Kicker {4} (You may pay an additional {4} as you cast this spell.)\nSearch your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle. If this spell was kicked, put two +1/+1 counters on each creature you control."
Vastwood Fortification // Vastwood Thicket,1.0,['G'],['G'],None,['Instant'],None,Uncommon,ZNR,None,None,None,Put a +1/+1 counter on target creature.
"Turntimber Symbiosis // Turntimber, Serpentine Wood",7.0,['G'],['G'],None,['Sorcery'],None,Mythic,ZNR,None,None,None,"Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. If that card has mana value 3 or less, it enters with three additional +1/+1 counters on it. Put the rest on the bottom of your library in a random order."
Turntimber Ascetic,5.0,['G'],['G'],None,['Creature'],"['Giant', 'Cleric']",Common,ZNR,5,4,None,"When Turntimber Ascetic enters the battlefield, you gain 3 life."
Territorial Scythecat,3.0,['G'],['G'],None,['Creature'],['Cat'],Common,ZNR,2,1,None,"Trample\nLandfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Territorial Scythecat."
Taunting Arbormage,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Wizard']",Uncommon,ZNR,2,3,None,"Kicker {3} (You may pay an additional {3} as you cast this spell.)\nWhen Taunting Arbormage enters the battlefield, if it was kicked, all creatures able to block target creature this turn do so."
Tangled Florahedron // Tangled Vale,2.0,['G'],['G'],None,['Creature'],['Elemental'],Uncommon,ZNR,1,1,None,{T}: Add {G}.
Tajuru Snarecaster,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Rogue']",Common,ZNR,1,4,None,Reach
Tajuru Paragon,2.0,['G'],['G'],None,['Creature'],['Elf'],Rare,ZNR,3,2,None,"Tajuru Paragon is also a Cleric, Rogue, Warrior, and Wizard.\nKicker {3}\nWhen Tajuru Paragon enters the battlefield, if it was kicked, reveal the top six cards of your library. You may put a card that shares a creature type with it from among them into your hand. Put the rest on the bottom of your library in a random order."
Tajuru Blightblade,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Rogue']",Common,ZNR,1,1,None,Deathtouch
Swarm Shambler,1.0,['G'],['G'],None,['Creature'],"['Fungus', 'Beast']",Rare,ZNR,0,0,None,"Swarm Shambler enters the battlefield with a +1/+1 counter on it.\nWhenever a creature you control with a +1/+1 counter on it becomes the target of a spell an opponent controls, create a 1/1 green Insect creature token.\n{1}, {T}: Put a +1/+1 counter on Swarm Shambler."
Strength of Solidarity,1.0,['G'],['G'],None,['Sorcery'],None,Common,ZNR,None,None,None,"Choose target creature you control. Put a +1/+1 counter on it for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)"
Springmantle Cleric,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Cleric']",Uncommon,ZNR,2,3,None,Springmantle Cleric enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.
Skyclave Pick-Axe,1.0,['G'],['G'],None,['Artifact'],['Equipment'],Uncommon,ZNR,None,None,None,"When Skyclave Pick-Axe enters the battlefield, attach it to target creature you control.\nLandfall — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.\nEquip {2}{G}"
Scute Swarm,3.0,['G'],['G'],None,['Creature'],['Insect'],Rare,ZNR,1,1,None,"Landfall — Whenever a land enters the battlefield under your control, create a 1/1 green Insect creature token. If you control six or more lands, create a token that's a copy of Scute Swarm instead."
Scale the Heights,3.0,['G'],['G'],None,['Sorcery'],None,Common,ZNR,None,None,None,Put a +1/+1 counter on up to one target creature. You gain 2 life. You may play an additional land this turn.\nDraw a card.
Roiling Regrowth,3.0,['G'],['G'],None,['Instant'],None,Uncommon,ZNR,None,None,None,"Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
Reclaim the Wastes,1.0,['G'],['G'],None,['Sorcery'],None,Common,ZNR,None,None,None,"Kicker {3} (You may pay an additional {3} as you cast this spell.)\nSearch your library for a basic land card, reveal it, put it into your hand, then shuffle. If this spell was kicked, search your library for two basic land cards instead of one."
Rabid Bite,2.0,['G'],['G'],None,['Sorcery'],None,Common,ZNR,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
